,Country Code,Year,GDP,POP,POP-DENS,URBAN-POP-PERC,URBAN-POP-DENS,GDP_rising,GDP_falling,VEHICLE-STOCK,VEHICLE-STOCK-LAST,GDP-PER-CAP,VEHICLE-STOCK-PER-CAP,VEHICLE-STOCK-LAST-PER-CAP
227,AZE,1991,20098414788.074,7271300.0,87.3775791004242,53.441,2093.57309384229,0,1,298195.0,299254.0,2.7640744829774593,41.00986068515946,41.15550176722182
301,IDN,1991,288571594922.789,185361228.0,102.320764861419,31.613,1304.6432503313001,1,0,1999327.0,1781760.0,1.556806663596278,10.786112185230019,9.612366184798907
303,IND,1991,470159671379.001,888941756.0,298.985855596178,25.778,2258.203854072818,0,1,5818000.0,5303000.0,0.5288981738180392,6.544860741134991,5.965520197703482
312,JPN,1991,3633170889061.82,123964000.0,340.0,77.473,1877.0312678786063,1,0,38830236.0,36611244.0,29.308274088137036,313.2380045819754,295.3377109483398
313,KAZ,1991,84840573667.6756,16451711.0,6.0939033966737,56.175,1631.5715338882762,0,1,903034.0,863900.0,5.156945296916266,54.88997466585694,52.51125551621956
384,SGP,1991,75658065571.9819,3135083.0,4679.22835820895,100.0,7440.012955142562,1,0,309594.0,296204.0,24.13271532906207,98.75145251337844,94.48043321341093
404,THA,1991,156372738600.536,56099865.0,109.808109377753,29.593,1293.41307487938,1,0,2443405.0,2346508.0,2.787399552575323,43.55456113842698,41.82733773067012
442,AZE,1992,15556172980.3592,7382050.0,88.7084369780213,53.132,2077.154668219236,0,1,294952.0,298195.0,2.1072971573423644,39.955296970353764,40.39460583442269
516,IDN,1992,307321553108.609,188558416.0,104.0856362161,32.703,1333.6606197176668,1,0,2130693.0,1999327.0,1.6298479782976592,11.299909307681073,10.603223353340006
518,IND,1992,495935686498.182,907574049.0,305.252623949361,25.984,2264.261242007225,1,0,6332000.0,5818000.0,0.5464410171760894,6.976841181143115,6.410496208447671
527,JPN,1992,3665890719855.77,124425000.0,341.264399341744,77.61,1881.0048452197752,1,0,40732239.0,38830236.0,29.4626539670948,327.36378541289935,312.0774442435202
528,KAZ,1992,80344023264.1926,16439095.0,6.08923028484646,56.083,1626.2171281455987,0,1,971200.0,903034.0,4.887375081425869,59.078677992918706,54.932099364350655
599,SGP,1992,80681614023.603,3230698.0,4821.93731343284,100.0,7654.29548809897,1,0,312482.0,309594.0,24.973431135811207,96.72275155399855,95.8288270831876
619,THA,1992,169012953824.518,56939020.0,111.450644952925,29.763,1278.9790934583152,1,0,2735306.0,2443405.0,2.9683151171993827,48.03921809683412,42.91266340727325
657,AZE,1993,11962697221.1959,7494800.0,90.0633284064554,52.824,2061.5192692803075,0,1,300064.0,294952.0,1.596132948336967,40.03629182900144,39.35421892512142
731,IDN,1993,327286415440.659,191737287.0,105.840396451697,33.808,1363.00527263437,1,0,2268944.0,2130693.0,1.7069523646731217,11.833608556274191,11.112564662500937
733,IND,1993,519496481157.108,926351297.0,311.568146334408,26.191,2271.1759076995863,1,0,6694000.0,6332000.0,0.5607985683611646,7.226200278100329,6.835419802947607
742,JPN,1993,3649056226897.65,124829000.0,342.372462973121,77.746,1884.0917769593204,0,1,42675472.0,40732239.0,29.232439792817775,341.871456152016,326.30429627730734
743,KAZ,1993,72952373122.2534,16380672.0,6.06758973219247,55.992,1616.3851152810755,0,1,1011800.0,971200.0,4.453564122537427,61.76791770203323,59.28938690671542
746,KHM,1993,5775009072.99655,10243550.0,58.0305347835939,16.587,1517.0676789756612,1,0,141964.0,135088.0,0.5637702820796062,13.858867287219763,13.187615621537455
797,PHL,1993,109423583469.284,66083321.0,221.629677700641,46.73,3737.998162685412,0,1,1385361.0,1246482.0,1.6558426818362229,20.96385258846177,18.86227842574679
814,SGP,1993,89927445311.2214,3313471.0,4945.47910447761,100.0,7837.497674977475,1,0,331638.0,312482.0,27.139952427898542,100.08779313294126,94.30654440615294
834,THA,1993,182959760659.991,57776082.0,113.089083755799,29.934,1265.6264198181498,1,0,3231549.0,2735306.0,3.1667041849599804,55.932297382158936,47.343224139013095
863,ALB,1994,4185837892.89876,3207536.0,117.063357664234,38.354,1824.8749338643618,1,0,118420.0,95666.0,1.3050010640250835,36.91930503663871,29.825386215462583
867,ARM,1994,2884798026.4592,3373713.0,118.500632244468,66.332,2543.1277981757103,1,0,328203.0,370650.0,0.85508104170663,97.28243036677986,109.8641170721991
871,AUT,1994,261596808649.455,7936118.0,96.1720552593311,61.87,1901.870339166386,1,0,4177217.0,4052689.0,32.96281741897676,526.355202883828,510.66390393892834
872,AZE,1994,9606045720.29194,7596550.0,91.2860353052862,52.515,2043.0462351526153,0,1,311541.0,300064.0,1.264527413140431,41.01085361117876,39.50003620064371
874,BEL,1994,310187964527.328,10115603.0,308.214594759293,96.7,1444.8861081905757,1,0,4654359.0,4537706.0,30.664307854640796,460.11681162259924,448.5848248492947
878,BGR,1994,32898293113.229,8443591.0,76.3227967097532,67.557,2382.4665883345833,1,0,1844188.0,1708942.0,3.8962442772546657,218.41275826837185,202.39516575352835
892,CAN,1994,930545100992.074,29000663.0,3.23466308408036,77.414,1843.7585821830123,1,0,16597303.0,16334762.0,32.08702852731587,572.3077089651364,563.254778002834
893,CHE,1994,471324743945.934,6993795.0,176.928204609274,73.708,1613.3046235298405,1,0,3457371.0,3377018.0,67.39184433428976,494.34834735647814,482.85916301521564
907,CYP,1994,11684661967.9042,844444.0,91.3900432900433,67.915,1645.736332591195,1,0,306868.0,295383.0,13.837106981521805,363.39650705079316,349.7958419978116
