Country,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Luxembourg,243050,255069,257195,262571,270668,280835,286537,298784,308373,315044,322048,328698,337945,347127,355987,363964,367864,374463,384116,394947,402665,413039,422534,434087,448672,462063,475599,483851,492528
Malta,187573,209200,222700,205580,231163,223220,226462,233428,240188,246886,249178,251722,254951,260859,267078,274522,278707,285261,291565,294052,301183,311838,321486,330255,340804,351049,360047,362624,368279
Monaco,,,,,,,,,,,,,,,,28236,,,,,,,,,,,,,36448
Montenegro,,,,,,,,,,,,,,,,,178919,,173190,177094,,174073,,200808,210596,225632,238624,212833,224578
Netherlands,5588565,5714855,5802162,6477254,6639200,6893822,7190396,7449367,7664639,7846649,7929986,8038824,8107501,8236578,8413493,8579238,8650917,8751242,8860684,8896103,8893490,8937523,9073339,9221801,9406164,9495940,9772222,9906669,9954336
North Macedonia,313004,285660,311006,308401,314920,314596,315949,327126,338516,334815,325472,,273510,261476,267640,282645,303077,331174,348189,335241,408293,411984,425764,438473,484106,497896,510895,476668,530212
Norway,1985185,2020025,2066719,2052794,1797987,1896871,1926998,1963637,1908529,1933877,1966034,2457805,2522602,2598884,2693225,2743017,2787942,2854710,2928826,3003748,,,,3237981,3299126,3333215,3392848,3536676,3613059
Poland,7856556,8293972,8956778,9571401,10102676,10534404,11044845,11952958,12564893,13274903,13639988,14449450,14723680,15860326,17197547,18882489,19387512,20318987,21356217,22022180,22734857,23450866,24261574,25330207,26258913,27306660,28366542,29237839,30134449
Portugal,4345150,4690598,4969794,5295215,5656924,6079362,6535433,6987888,7365084,7696902,,,,,,,,6151691,6150732,5529243,5586036,6063185,6050899,6175553,6411525,6668143,6982983,6976679,7044263
Republic of Moldova,240370,241345,238943,245273,278482,282611,285552,282081,299188,311279,331312,368467,395080,433030,462793,503809,535014,563844,596723,636036,674436,704808,560831,577094,617906,646155,680687,908468,
Romania,2157368,2415402,2580433,2798454,3031050,3275626,3466199,3622340,3726654,3454626,3591140,3706285,3896873,3710327,4077159,4713854,4948024,5027866,5072147,5248936,4823443,5046053,5308166,7228594,7870175,7538662,8046763,8470490,8856754
Russian Federation,14524727,16433566,17829884,19146643,21375621,22567521,23559573,,,,,,31087509,32558105,35466514,38275082,39313600,40672388,42872668,45481536,48367990,,,,,,,,
San Marino,,,,,,,,,,,29515,32370,,,,,,,,,,,,,,,,,
Serbia,,,,,,,,,,,,,1762671,1654149,1623166,1642628,1805481,1737010,1858426,1892453,1934291,1959824,,,,,,2174718,
Slovakia,1156810,1155588,1177584,1212515,1295855,1364116,1407692,1438532,1465164,1509055,1550076,1380704,1524111,1550734,1679339,1824041,1886936,1975227,2062406,2143574,2204868,2279806,2376227,2749107,2867120,2983710,3061693,2774856,2834711
Slovenia,671591,698471,743376,775858,829386,866008,903284,925789,943655,976958,946089,970147,1028702,1052409,1093895,1131467,1144885,1148157,1153566,1152848,1078898,1081083,1092694,1112183,1135047,1161912,1185006,1189832,1209397
Spain,16300638,16686838,17283621,17954118,18657130,19611613,20636728,21426908,22312104,23048842,23107410,24016996,24963661,26227747,27174383,27612781,27389607,27513911,27596109,27482044,,27114855,27462976,28026037,28706620,29345909,29872249,30046723,30261007
Sweden,3885813,3911834,3953286,3981504,4038148,4150060,4259162,4387639,4428939,4465953,4510303,4566348,4628638,4695437,4775400,4802673,4828983,4869210,4957251,5011840,5068262,5174288,5272875,5391547,5491701,5534260,5565005,5630279,5684211
Switzerland,3377018,3457371,3528319,3568682,3625708,3689392,3780646,3863778,3956588,4033543,4089958,4153977,4180564,4223000,4289300,4325000,4346800,4420000,4520800,4626400,4702100,4775900,4860000,4939500,5061138,5109481,5147801,5198814,5249640
Tajikistan,200700,,,233995,228582,228481,213507,,,,,,,,,,,,,,,,,,,,,,
Turkiye,3549497,3830118,4068697,4358078,4785767,5191912,5515568,6005919,6164745,6279248,6494078,7778953,8426915,9079631,9653390,10190706,10611299,8866713,9450899,10032598,13614656,14332586,15315224,16270109,17217824,17705282,17851180,18603245,
Turkmenistan,214100,,,226800,,,,,,,,,,,,534283,,,,,,,,,,,,,
Ukraine,4235700,4384100,4603100,4872272,5024011,5127323,,,,,,,5778388,,,6676763,6699057,7889665,8491898,,,,,,,,,,
United Kingdom,24142266,24597140,24688000,25765869,26415626,27164741,27915656,28407496,29206659,29976693,30504851,31607029,32170344,31596280,32123942,32324715,32083058,32270122,32348828,,,,34529929,35287562,35756116,36182761,,,36929920
United States,186969432,199081319,202865386,207993527,209220395,213117099,217842394,223062784,232368671,231470524,233242029,239118734,243066043,248578248,251776286,252626411,,,,245184447,243095043,249891943,252842935,257850765,261461626,265377904,,,
Uzbekistan,861000,971800,,,,,,,,,,,,,,,,,,25590,1738723,1841476,1996201,2077055,2133507,2292513,2426083,2781355,3067534
