"Road vehicle fleet at 31 December by vehicle category and age group"

"Age Group","Type of Vehicle","Country","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"< or = 2 years","Passenger cars","Denmark",302917,357390,350000,408000,421000,445000,446000,407000,340000,306000,380101,419377,480450,569000,619000,597000,,,,,496846,516244,549062,399475,407050,404961,399613,381884,357195
"< or = 2 years","Passenger cars","Estonia",,,,,,17700,15400,16600,22000,26700,30200,32000,35300,43400,56600,55100,31600,17170,25000,34600,38016,39278,39108,40347,43826,45960,48268,41643,38268
"< or = 2 years","Passenger cars","Finland",,,,,200000,231000,264000,274000,246000,228000,266000,291000,293000,296000,273000,276000,271000,204000,239000,238000,215000,209443,213324,227917,237649,239685,235552,211919,198026
"< or = 2 years","Passenger cars","France",,3807000,4038000,4200000,3964000,3746000,4155000,4404000,4528000,4553000,4230000,4085000,4121000,4111000,4116000,,,4535000,4450000,4146000,3806000,3710000,3832000,5908771,6248695,6557554,6801963,6418408,5965370
"< or = 2 years","Passenger cars","Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"< or = 2 years","Passenger cars","Germany",,4974000,5025000,5256000,5378000,5484000,5775000,7166000,6705000,6597000,6490253,6492000,6600000,6804000,5937000,5551000,6425000,6247000,5584000,5751000,5560000,5506000,5747000,6037872,6282891,6372529,6495949,6132681,5201445
"< or = 2 years","Passenger cars","Greece",,274000,252000,275000,308000,351000,,,,,,,,,,,,,,,,,,,,,,,
"< or = 2 years","Passenger cars","Hungary",,,140000,124000,140589,176032,229000,259000,277500,309000,367000,578000,602000,570000,521000,284000,171500,76400,78790,86250,140271,154335,174065,204007,244719,290335,327883,320738,291724
"< or = 2 years","Passenger cars","Iceland",22660,17930,,,26000,35000,43000,49000,38000,30000,25000,39000,36000,,,,,,,,,,,,,,,,24223
"< or = 2 years","Passenger cars","Ireland",126500,136790,157800,190400,234500,260900,297200,374000,360000,289000,272000,273000,,324000,338000,637660,520080,417760,354010,370270,358180,375500,427930,516820,424570,430590,434480,380240,324500
"< or = 2 years","Passenger cars","Israel",,,,,,,,,,,,,,,,,,,,,,,,,,804153,778036,717120,
"< or = 2 years","Passenger cars","Italy",,3352000,3406000,3472000,4200000,4818000,4696000,4636000,4727000,4575000,4478000,4707000,4680000,4759000,4996000,4799000,4435000,4228000,3798000,3189000,2734000,2734785,3051970,3559116,3969015,4052226,4037521,3526323,3084483
"< or = 2 years","Passenger cars","Kazakhstan",,,,,,,,,8917,8903,9831,,,,,,,,114900,97400,,,,,,,401148,,
"< or = 2 years","Passenger cars","Kyrgyzstan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"< or = 2 years","Passenger cars","Latvia",,,,5137,6222,9961,12000,10600,11800,13200,14800,17700,25400,42090,59360,51810,22070,8490,13250,18250,19120,20362,21790,23846,27768,30131,31021,28142,25853
"< or = 2 years","Passenger cars","Liechtenstein",,,,,,,,4000,5000,4000,4220,3900,3964,3950,3996,4210,4080,3930,4026,4640,4610,3980,3984,4067,4173,4243,4063,3704,3517
"< or = 2 years","Passenger cars","Lithuania",,,,5100,4700,7400,9300,8400,10100,14100,15300,16400,19900,25600,36800,43758,27600,13251,17768,21605,22229,23216,25854,30447,35449,40830,48404,48615,43444
"< or = 2 years","Passenger cars","Luxembourg",,,,,,,69000,73270,75000,76000,77000,82000,87000,89000,92000,94000,45600,91000,92600,92100,87543,87614,88416,90306,94296,96755,98378,92629,84266
"< or = 2 years","Passenger cars","Malta",,,,,,,19653,21100,19100,12900,,,10941,10989,10286,16084,17024,15317,15529,15812,17158,16945,18200,12735,21395,22259,22668,18447,15400
"< or = 2 years","Passenger cars","Monaco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"< or = 2 years","Passenger cars","Montenegro",,,,,,,,,,,,,,,,,,,,,,,,4731,5431,6361,6465,3981,2990
"< or = 2 years","Passenger cars","Netherlands",,,,888000,926000,994000,1123000,1175000,1092000,1012000,961000,946000,926000,930000,971000,985000,874000,867000,1031000,1049000,1471761,1317113,1259171,1244569,1283012,1280400,1354158,1309126,1224149
"< or = 2 years","Passenger cars","North Macedonia",6519,8514,18000,21800,17500,14000,15000,19000,13000,8000,7000,,13700,16600,20600,24690,22070,13370,10000,7345,5569,4867,5730,7042,7818,8534,8953,8180,7450
"< or = 2 years","Passenger cars","Norway",,,172471,212800,250000,242000,218000,200000,,,,209000,230000,224000,245000,244000,214000,235000,278000,293000,299000,303274,310000,318453,326932,323196,303184,244374,338129
"< or = 2 years","Passenger cars","Poland",,,,,,,,,,734500,638200,866000,646000,652000,684000,839000,833000,723000,688000,738000,796544,818950,885473,1028443,1161449,1306615,1412619,1321677,1246759
"< or = 2 years","Passenger cars","Portugal",,,,,,585000,659000,673000,,,,,,,,,,392000,379000,244000,194719,244657,317872,386602,435008,455323,455739,369769,519293
"< or = 2 years","Passenger cars","Republic of Moldova",,,,,,,,,,,,16300,18867,12369,12457,,14550,19890,8520,8900,7680,8246,7075,6333,12020,14926,17267,16343,
"< or = 2 years","Passenger cars","Romania",,,,,,,,,,,,,,,,892000,744000,852000,177000,149000,124550,126812,148726,174409,200643,235704,289520,277676,236354
"< or = 2 years","Passenger cars","Russian Federation",,,,,,,,,,,,,,,,,,,,,8558354,,,,,,,,
"< or = 2 years","Passenger cars","San Marino",,,,,,,,,,,4830,5283000,,,,,,,,,,,,,,,,,
"< or = 2 years","Passenger cars","Serbia",,,,,,,,,,,,,,66000,73000,81000,79000,73517,96754,76720,59243,47250,,,,,,,
"< or = 2 years","Passenger cars","Slovakia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"< or = 2 years","Passenger cars","Slovenia",88507,104303,102978,118000,183000,191000,206000,205000,184000,227800,98000,108000,107000,110000,116000,126140,116580,102510,100890,88380,74735,70590,73704,83921,93806,100434,99481,83596,72151
"< or = 2 years","Passenger cars","Spain",1782464,1704000,1791000,2740000,2893000,3309000,3806000,4097000,2841000,2758000,2718000,2995000,3183000,4759000,4747000,4236000,3543000,2973000,2645000,2338000,2058000,1466436,1801132,2100067,2304780,2474684,2491292,2005747,1649032
"< or = 2 years","Passenger cars","Sweden",,,323000,363000,447000,540000,816000,867000,824000,726000,693000,733000,757000,778000,812000,734000,667000,643982,694942,768287,743834,740682,807627,897689,950735,936840,882084,812128,786838
"< or = 2 years","Passenger cars","Switzerland",523546,502000,509000,517000,519000,529000,579000,613000,609000,599000,561000,533000,510000,509000,537000,554000,552000,552000,605000,662000,545000,593000,629000,616400,613421,605128,585011,539817,487287
"< or = 2 years","Passenger cars","Tajikistan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"< or = 2 years","Passenger cars","Turkiye",,,,,,,,,,,,562000,535000,531000,435000,466000,431320,602075,817200,1377370,1326027,1109189,1182538,1360364,1349552,1083482,727985,857589,
"< or = 2 years","Passenger cars","Turkmenistan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"< or = 2 years","Passenger cars","Ukraine",,,,,,,,808520,,,,,610553,,,1348545,,1293693,,,,,,,,,,,
"< or = 2 years","Passenger cars","United Kingdom",,,,3658000,3876000,4129000,4298000,4383000,4705000,5034000,5070000,4984896,4796640,4520000,4452000,4274000,4282000,3777000,3711000,3733000,,,4798556,4999605,4871931,4597791,,,3143257
"< or = 2 years","Passenger cars","United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"< or = 2 years","Passenger cars","Uzbekistan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"< or = 2 years","Motor coaches, buses and trolleybuses","Albania",300,300,,,,,,,,,,,,,,,,,,,,,,,101,79,48,14,7
"< or = 2 years","Motor coaches, buses and trolleybuses","Andorra",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"< or = 2 years","Motor coaches, buses and trolleybuses","Armenia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"< or = 2 years","Motor coaches, buses and trolleybuses","Austria",,1141,1112,1078,2655,1038,1294,1569,1381,1299,1453,1639,1524,2293,2135,2452,2325,2324,1995,2055,1976,2292,2500,2815,3101,3280,3428,3097,2846
"< or = 2 years","Motor coaches, buses and trolleybuses","Azerbaijan",,,,,,,,,,,,,,,,5172,5331,5861,1215,1337,418,581,1028,,,431,759,,
"< or = 2 years","Motor coaches, buses and trolleybuses","Belarus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"< or = 2 years","Motor coaches, buses and trolleybuses","Belgium",1333,1562,1285,1281,1477,1425,1583,1662,1628,1456,1609,1529,2402,2259,2353,2856,2922,2827,2457,2217,1862,2120,2565,1897,1697,1840,2393,2281,2009
"< or = 2 years","Motor coaches, buses and trolleybuses","Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,104,86,118,142,132,72,,102,,97,62,40
"< or = 2 years","Motor coaches, buses and trolleybuses","Bulgaria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"< or = 2 years","Motor coaches, buses and trolleybuses","Canada",,,,,,,,17964,,,,,,,,,,,,,,,,,,,,,
"< or = 2 years","Motor coaches, buses and trolleybuses","Croatia",,,304,271,294,257,275,197,223,292,439,502,562,572,683,744,887,632,435,186,243,301,339,388,476,570,685,525,472
"< or = 2 years","Motor coaches, buses and trolleybuses","Cyprus",,273,289,344,301,232,268,331,329,284,259,172,129,130,162,191,141,293,296,71,60,23,50,96,109,88,66,257,264
"< or = 2 years","Motor coaches, buses and trolleybuses","Czechia",1198,1114,1238,1418,1355,1316,1370,1437,1651,1813,1833,1830,1782,1757,1885,2260,2186,1629,1557,2790,2475,2710,3177,3171,2995,2920,3183,3521,3510
"< or = 2 years","Motor coaches, buses and trolleybuses","Denmark",4544,4800,3787,2572,2121,2436,2313,2406,2085,2120,2031,2095,2005,2099,2054,2340,,,,,1913,2067,2232,1893,2321,2090,1699,1302,1145
"< or = 2 years","Motor coaches, buses and trolleybuses","Estonia",,,,,,131,145,134,148,168,191,183,155,262,417,407,269,286,259,265,423,450,449,427,399,394,398,458,498
"< or = 2 years","Motor coaches, buses and trolleybuses","Finland",,,,,932,982,1061,1102,956,893,979,998,958,908,987,1017,1158,1155,1017,988,1008,1203,1314,1223,1222,1071,1133,911,690
"< or = 2 years","Motor coaches, buses and trolleybuses","France",,,,,,8802,10160,10170,10832,9745,10392,10549,10744,11275,12018,12792,9683,,,,12988,12797,13218,14734,20224,19330,19626,19359,20381
"< or = 2 years","Motor coaches, buses and trolleybuses","Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"< or = 2 years","Motor coaches, buses and trolleybuses","Germany",,24331,8963,8271,8515,8286,8934,12544,12357,11808,9007,10901,10558,10926,10235,10303,10701,10356,9819,9625,10296,10774,11126,12154,12644,12702,12546,11681,12180
"< or = 2 years","Motor coaches, buses and trolleybuses","Greece",,2478,2376,1888,1611,1785,,,,,,,,,,,,,,,,,,,,,,,
"< or = 2 years","Motor coaches, buses and trolleybuses","Hungary",,,1050,797,814,1019,1286,1449,1530,1525,1098,1684,1588,1918,2046,1363,1292,808,419,247,712,954,1518,1577,1893,1974,2209,2126,2533
"< or = 2 years","Motor coaches, buses and trolleybuses","Iceland",230,180,,,211,270,315,362,322,276,254,374,218,,,,,,,,,,,,,,,,
"< or = 2 years","Motor coaches, buses and trolleybuses","Ireland",,,,,,,,,,,,,,,,,3159,2260,1369,1219,1491,1939,2297,2792,2415,2508,2476,1716,1656
"< or = 2 years","Motor coaches, buses and trolleybuses","Israel",,,,,,,,,,,,,,,,,,,,,,,,,10510,10931,10693,9439,
"< or = 2 years","Motor coaches, buses and trolleybuses","Italy",,2402,,6090,7363,,9008,9493,9787,9875,,7962,8866,9009,8027,7677,7007,6507,6919,5265,4378,4623,4661,5307,,7935,8685,6936,6637
"< or = 2 years","Motor coaches, buses and trolleybuses","Kazakhstan",,,,2748,1894,1753,1942,2584,2504,2355,2625,,,,,,,,,,,,,,,,,,
"< or = 2 years","Motor coaches, buses and trolleybuses","Kyrgyzstan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"< or = 2 years","Motor coaches, buses and trolleybuses","Latvia",,,,372,593,433,596,591,443,397,435,443,397,393,408,519,434,281,340,265,307,418,452,459,435,368,248,239,388
"< or = 2 years","Motor coaches, buses and trolleybuses","Liechtenstein",,,,,,,,14,22,32,31,17,23,17,16,16,17,16,11,38,36,7,8,17,22,13,12,8,4
"< or = 2 years","Motor coaches, buses and trolleybuses","Lithuania",,,,252,458,475,438,354,288,338,266,471,726,749,568,449,296,196,198,256,331,452,475,454,621,1012,1088,759,460
"< or = 2 years","Motor coaches, buses and trolleybuses","Luxembourg",,,,,,,225,249,280,257,240,267,296,342,368,413,215,397,592,757,350,340,422,463,446,459,496,485,370
"< or = 2 years","Motor coaches, buses and trolleybuses","Malta",,,,,,25,7,48,49,29,,,44,56,35,98,114,123,285,258,251,91,205,238,298,133,190,262,306
"< or = 2 years","Motor coaches, buses and trolleybuses","Monaco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"< or = 2 years","Motor coaches, buses and trolleybuses","Montenegro",,,,,,,,,,,,,,,,,,,,,,,,28,44,41,35,,
"< or = 2 years","Motor coaches, buses and trolleybuses","Netherlands",,1000,,1221,1021,965,1162,1502,1643,1413,1567,1836,2091,1925,1915,2359,2380,1855,1313,1361,1950,2019,1571,1817,2064,2270,2328,2073,1793
"< or = 2 years","Motor coaches, buses and trolleybuses","North Macedonia",79,56,,100,34,98,88,83,102,64,25,,27,16,26,34,69,25,175,264,67,28,31,29,28,22,49,82,64
"< or = 2 years","Motor coaches, buses and trolleybuses","Norway",,,6133,6758,6193,5567,4912,3549,,,,1783,2132,2014,1976,2376,2383,2623,2818,2556,2489,2315,2037,2454,2714,2311,3405,3508,2685
"< or = 2 years","Motor coaches, buses and trolleybuses","Poland",,,,,,,,,,4663,4092,5990,3658,4129,4426,4917,4597,4243,4015,4031,4186,4262,4928,5383,5621,6526,6961,6120,4826
"< or = 2 years","Motor coaches, buses and trolleybuses","Portugal",,,,,,1819,2107,2274,,,,,,,,,,1195,901,615,487,516,598,731,892,1107,1357,1181,1785
"< or = 2 years","Motor coaches, buses and trolleybuses","Republic of Moldova",,,,,,,259,171,90,122,135,522,541,270,184,,215,296,172,233,131,241,215,74,194,271,271,268,
"< or = 2 years","Motor coaches, buses and trolleybuses","Romania",,,,,,,,,,,,,,,,11340,10152,10761,1249,2277,2616,2286,3877,3748,2244,2485,3591,2834,1554
"< or = 2 years","Motor coaches, buses and trolleybuses","Russian Federation",,,,,,,,,,,,,,,,,,,,,148088,,,,,,,,
"< or = 2 years","Motor coaches, buses and trolleybuses","San Marino",,,,,,,,,,,7,3,,,,,,,,,,,,,,,,,
"< or = 2 years","Motor coaches, buses and trolleybuses","Serbia",,,,,,,,,,,,,,888,669,835,626,803,841,818,1000,742,,,,,,,
"< or = 2 years","Motor coaches, buses and trolleybuses","Slovakia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"< or = 2 years","Motor coaches, buses and trolleybuses","Slovenia",183,180,158,,272,330,408,405,394,468,,,255,246,250,302,301,275,275,219,245,335,344,369,394,370,362,220,156
"< or = 2 years","Motor coaches, buses and trolleybuses","Spain",4695,3767,4398,7242,8768,9848,10841,10807,6808,6576,6338,6835,7737,11500,12100,11746,10892,9327,8355,7170,,5576,4916,6452,7373,7545,7236,5620,4143
"< or = 2 years","Motor coaches, buses and trolleybuses","Sweden",,,1551,1979,2253,2284,3640,3843,3899,3857,3826,3522,3573,3672,3531,3445,3356,3997,4421,4813,4338,4062,3696,3591,3779,3168,3323,3357,3331
"< or = 2 years","Motor coaches, buses and trolleybuses","Switzerland",3716,3287,3323,3603,3786,3866,4111,4435,5076,5377,5393,5582,1400,1300,1200,1400,1700,1500,1300,1400,1300,1300,1400,1600,1744,1711,1653,1449,1463
"< or = 2 years","Motor coaches, buses and trolleybuses","Tajikistan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"< or = 2 years","Motor coaches, buses and trolleybuses","Turkiye",,,,,,,,,,,,45941,46675,49571,44387,43417,26064,25616,45678,80597,74201,52947,61067,58383,43738,37710,21800,18672,
"< or = 2 years","Motor coaches, buses and trolleybuses","Turkmenistan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"< or = 2 years","Motor coaches, buses and trolleybuses","Ukraine",,,,,,,,10377,,,,,21597,,,30978,,25034,,,,,,,,,,,
"< or = 2 years","Motor coaches, buses and trolleybuses","United Kingdom",,,,16972,25212,,27146,26455,23403,23202,25978,27058,26333,25110,24060,23352,23321,18183,17416,17281,,,17843,19202,18292,16389,,,9178
"< or = 2 years","Motor coaches, buses and trolleybuses","United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"< or = 2 years","Motor coaches, buses and trolleybuses","Uzbekistan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"< or = 2 years","Light goods road vehicles","Albania",623,801,,,,,,,,,,,,,,,,,,,,,,,,,,9,6
"< or = 2 years","Light goods road vehicles","Andorra",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"< or = 2 years","Light goods road vehicles","Armenia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"< or = 2 years","Light goods road vehicles","Austria",,48054,48523,48182,50430,54116,55970,58850,57536,51255,52785,60397,64181,96844,99982,103760,98635,93759,93282,99690,93330,91343,91968,96387,104532,115188,121795,119887,136129
"< or = 2 years","Light goods road vehicles","Azerbaijan",,,3270,1882,,,,,,,,,,,,17871,19992,25481,,4880,2427,3378,2057,,,362,511,,
"< or = 2 years","Light goods road vehicles","Belarus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"< or = 2 years","Light goods road vehicles","Belgium",50739,50977,52609,57225,65261,74889,85401,90404,91478,87336,79979,87243,147709,153142,158252,161830,160432,149395,145227,149872,,,,,,,,,
"< or = 2 years","Light goods road vehicles","Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,2052,2545,2501,2965,2812,2974,,3395,4280,4092,2638,2110
"< or = 2 years","Light goods road vehicles","Bulgaria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"< or = 2 years","Light goods road vehicles","Canada",,,,,,,,,,,,,126191,,,185273,,,,,,,,,,,,,
"< or = 2 years","Light goods road vehicles","Croatia",,,6871,8245,11260,15249,11645,9914,11706,16733,21276,22499,23178,24479,25327,26671,22224,15171,8672,9229,11671,13048,14680,17223,20016,21035,21191,19809,18494
"< or = 2 years","Light goods road vehicles","Cyprus",,11888,14989,16160,13046,12692,12723,12176,13529,13291,9822,6612,5845,6387,7910,9235,8078,6339,5528,3494,1889,1485,1916,2355,3075,3175,3192,3104,2902
"< or = 2 years","Light goods road vehicles","Czechia",25583,27145,33398,41199,42055,36482,30289,33762,39562,42517,45048,58034,80694,101893,122878,128568,80514,34800,32999,60141,,,,,,,,,
"< or = 2 years","Light goods road vehicles","Denmark",6009,6069,,,,,,,,,6508,6291,7060,8000,9316,9956,,,,,71619,75778,84132,68167,71537,68743,65911,63584,62086
"< or = 2 years","Light goods road vehicles","Estonia",,,,,,4525,3716,3199,3810,4438,5205,5938,6929,9220,11923,8980,4695,2555,4006,5593,5687,6146,7149,8282,9112,9647,9400,7781,7463
"< or = 2 years","Light goods road vehicles","Finland",,,,,28654,35090,38886,38023,36180,35661,36399,41425,41515,40366,42497,43423,43913,26299,32433,33407,22336,21438,22294,25348,29543,31313,30636,28236,26302
"< or = 2 years","Light goods road vehicles","France",,,,,,702773,774253,792558,917300,909269,910675,852206,857786,859279,881881,856361,864873,,,,712171,701452,666811,571423,893444,969481,1040453,1025028,1016782
"< or = 2 years","Light goods road vehicles","Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"< or = 2 years","Light goods road vehicles","Germany",,315000,411809,402388,301000,406731,452667,497069,468736,429118,401660,409209,429759,490816,481340,502178,444983,419190,491196,519623,,,,,,,,,
"< or = 2 years","Light goods road vehicles","Greece",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"< or = 2 years","Light goods road vehicles","Hungary",,,31612,28831,31026,42433,52243,55373,54228,55229,52917,76994,67951,63727,61971,41563,29465,14186,18901,20207,28903,31982,39189,47941,50125,53463,56232,55995,52208
"< or = 2 years","Light goods road vehicles","Iceland",3368,1883,,,2697,3389,4297,5409,4769,3971,3519,5707,5742,,,,,,,,,,,,,,,,3126
"< or = 2 years","Light goods road vehicles","Ireland",35571,33944,36588,42435,35240,42479,51747,58925,58828,53401,53716,56282,,,83357,,102050,66493,43959,39733,38645,46817,61341,78699,62353,62577,63626,57912,56702
"< or = 2 years","Light goods road vehicles","Israel",,,,,,,,,,,,,,,,,,,,,,,,,20272,17838,16674,15411,
"< or = 2 years","Light goods road vehicles","Italy",,234745,250449,313657,314787,,378482,422675,462615,517359,,488523,500107,511074,524532,447279,390197,342740,335445,269035,,,,,,,,,
"< or = 2 years","Light goods road vehicles","Kazakhstan",,,,11324,5747,3486,2362,2806,4038,4515,4893,,,,,,,,,,,,,,,,,,
"< or = 2 years","Light goods road vehicles","Kyrgyzstan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"< or = 2 years","Light goods road vehicles","Latvia",,,,555,866,2311,3795,3835,2676,2295,2617,2993,3774,5451,7853,7203,3173,1241,2477,4407,,4649,4714,4496,4482,4577,4957,4631,4323
"< or = 2 years","Light goods road vehicles","Liechtenstein",,,,,,,,404,478,446,340,287,314,296,293,377,431,378,392,479,437,389,417,450,422,418,438,403,379
"< or = 2 years","Light goods road vehicles","Lithuania",,,,668,906,1941,1288,1502,1468,3173,3693,4697,6561,9043,11312,10582,4884,1691,11021,4033,,,,,,,,,
"< or = 2 years","Light goods road vehicles","Luxembourg",,,,,,,4766,5278,5699,5717,5259,5372,5920,6283,6688,7550,3078,6333,9919,13053,6246,6275,6942,7722,7938,8455,8648,8523,8241
"< or = 2 years","Light goods road vehicles","Malta",,,,,,2597,2145,1456,,,,,577,587,710,1198,1120,1056,914,1283,1243,1394,1434,1084,1826,2090,2053,1905,1698
"< or = 2 years","Light goods road vehicles","Monaco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"< or = 2 years","Light goods road vehicles","Montenegro",,,,,,,,,,,,,,,,,,,,,,,,651,738,817,767,,
"< or = 2 years","Light goods road vehicles","Netherlands",,,,126191,158093,187406,206608,207491,190351,173077,163725,170304,159148,140076,155269,174074,144570,107888,113715,119289,161052,154426,157081,177115,200487,221684,226854,215669,205979
"< or = 2 years","Light goods road vehicles","North Macedonia",341,389,858,754,850,891,847,900,677,253,117,,168,151,266,348,330,261,1023,1112,1204,1538,1663,1677,1920,2038,1979,,
"< or = 2 years","Light goods road vehicles","Norway",,,60406,66200,,,,,,,,65041,76169,88559,98621,90710,65673,56424,68284,72015,,,,65389,67535,68139,70013,53508,67506
"< or = 2 years","Light goods road vehicles","Poland",,,,,,,,,,302581,324666,385207,272891,179451,150420,167750,198384,259025,257697,207480,66653,137492,149191,15886,152731,165084,170548,171075,170683
"< or = 2 years","Light goods road vehicles","Portugal",,,,,,190305,207515,222131,,,,,,,,,,83232,79491,48988,32054,42689,53729,60753,67019,72922,75616,64270,92105
"< or = 2 years","Light goods road vehicles","Republic of Moldova",,,,,,,505,450,328,387,470,2158,2529,1052,1116,,861,1118,450,541,502,534,,,,,,,
"< or = 2 years","Light goods road vehicles","Romania",6443,7805,,,,,,,,,,,,,,132172,113582,124173,25238,21109,,,,27730,32861,34140,35347,30892,29735
"< or = 2 years","Light goods road vehicles","Russian Federation",,,,,,,,,,,,,,,,,,,,,862845,,,,,,,,
"< or = 2 years","Light goods road vehicles","San Marino",,,,,,,,,,,361,404,,,,,,,,,,,,,,,,,
"< or = 2 years","Light goods road vehicles","Serbia",,,,,,,,,,,,,,9210,13690,16593,12918,9690,9624,8201,9314,9912,,,,,,,
"< or = 2 years","Light goods road vehicles","Slovakia",,,,,,,,10068,18950,12814,20089,17934,,,3980,2806,3321,,,,,,,,,,,,
"< or = 2 years","Light goods road vehicles","Slovenia",4017,5004,6113,,10394,10105,10759,11403,11835,17182,,,9456,10887,13673,15089,11712,8035,8350,8207,,,,,,,,,
"< or = 2 years","Light goods road vehicles","Spain",394082,332324,349043,543981,606651,696200,812868,875561,584358,554298,567568,640334,726204,1116593,1167452,993137,728963,483070,400278,359283,,194983,253610,290530,311672,350061,360881,306963,272758
"< or = 2 years","Light goods road vehicles","Sweden",,,24081,34224,45565,56968,89727,102852,105889,104194,102053,98745,105631,118008,120478,137693,127532,119036,118563,134568,115636,106021,111073,125134,135958,144346,138965,118300,104280
"< or = 2 years","Light goods road vehicles","Switzerland",29916,27352,31282,33004,33146,34957,39334,45423,50608,49283,42793,40789,41634,46100,51200,55500,54200,52200,57300,65300,80000,57000,51000,59700,59867,61164,63474,61316,56298
"< or = 2 years","Light goods road vehicles","Tajikistan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"< or = 2 years","Light goods road vehicles","Turkiye",,,,,,,,,,,,308420,346845,359834,298870,284227,223050,,,,405378,258685,308175,359617,355710,278372,148855,186976,
"< or = 2 years","Light goods road vehicles","Turkmenistan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"< or = 2 years","Light goods road vehicles","Ukraine",,,,,,,,20418,,,,,38651,,,78746,,73350,,,,,,,,,,,
"< or = 2 years","Light goods road vehicles","United Kingdom",,,,436414,458087,510378,526896,548939,601660,634425,658580,705354,724870,710310,715070,675980,664307,443005,514355,,,,673877,724262,710961,697024,,,632806
"< or = 2 years","Light goods road vehicles","United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"< or = 2 years","Light goods road vehicles","Uzbekistan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"< or = 2 years","Lorries (vehicle wt over 3500 kg)","Albania",,,,,,,,,,,,,,,,,,,,,,,,,50,99,121,54,35
"< or = 2 years","Lorries (vehicle wt over 3500 kg)","Andorra",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"< or = 2 years","Lorries (vehicle wt over 3500 kg)","Armenia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"< or = 2 years","Lorries (vehicle wt over 3500 kg)","Austria",,,,,,,,,,,,,,,,,,,,,9972,9904,10067,10578,10939,11784,12335,12014,11532
"< or = 2 years","Lorries (vehicle wt over 3500 kg)","Azerbaijan",,,,,,,,,,,,,,,,,,,,,,,,,,844,1432,,
"< or = 2 years","Lorries (vehicle wt over 3500 kg)","Belarus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"< or = 2 years","Lorries (vehicle wt over 3500 kg)","Belgium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"< or = 2 years","Lorries (vehicle wt over 3500 kg)","Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,,,,,,,,399,458,609,280,332
"< or = 2 years","Lorries (vehicle wt over 3500 kg)","Bulgaria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"< or = 2 years","Lorries (vehicle wt over 3500 kg)","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"< or = 2 years","Lorries (vehicle wt over 3500 kg)","Croatia",,,,,,,,,,,,,,,,,,,,,,,1181,1491,1656,1850,1975,1871,1842
"< or = 2 years","Lorries (vehicle wt over 3500 kg)","Cyprus",,,,,,,,,,,,,,,,,,,,,100,59,53,91,133,179,230,178,133
"< or = 2 years","Lorries (vehicle wt over 3500 kg)","Czechia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"< or = 2 years","Lorries (vehicle wt over 3500 kg)","Denmark",,,,,,,,,,,,,,,,,,,,,4834,4901,5071,3909,4159,4211,4490,4317,4016
"< or = 2 years","Lorries (vehicle wt over 3500 kg)","Estonia",,,,,,,,,,,,,,,,,,,,,393,455,462,474,565,621,660,554,481
