"Road vehicle fleet at 31 December by vehicle category and age group"

"Age Group","Type of Vehicle","Country","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"All ages","Passenger cars","Latvia",367475,251590,332000,379895,431816,482670,526000,556800,586200,619100,648900,686100,742400,822010,904870,932830,904310,636660,612320,618270,634600,657799,679048,664177,689536,707841,727164,739124,758688
"All ages","Passenger cars","Liechtenstein",,,,,,,,,,,,,,,,25460,25910,26890,27327,28000,28100,28470,28802,29241,29675,29949,30249,30436,30541
"All ages","Passenger cars","Lithuania",597735,652810,718469,785088,882101,980910,1089300,1172400,1133500,1180900,1256900,1315900,1455300,1592200,1587900,1671065,1695300,1691855,1713277,1753407,1808982,1205668,1244063,1298737,1356987,1430520,1498688,1565465,1611143
"All ages","Passenger cars","Luxembourg",218000,229000,231666,236834,244129,253000,263000,273090,281000,287000,293000,299000,307000,315000,322000,328000,331500,337200,345600,355900,363247,372827,381103,390935,403589,415050,426443,433078,439790
"All ages","Passenger cars","Malta",152613,170635,180851,166182,183774,173700,182642,189123,195400,201900,202171,204949,212720,217924,224009,229470,234341,240960,247174,249612,256096,265950,275380,282921,291798,300140,307130,308358,313177
"All ages","Passenger cars","Monaco",,,,,,,,,,,,,,,,23938,,,,,,,,,,,,,32129
"All ages","Passenger cars","Montenegro",,,,,,,,,,,,,,,,,178919,,173190,177094,,174073,,184734,193242,206453,217959,210113,221405
"All ages","Passenger cars","Netherlands",5456000,5581000,5664000,5810000,5931000,6120000,6343000,6539000,6711000,6855000,6909000,6992000,7092000,7230000,7392000,7542000,7622000,7736000,7859000,7916000,7932290,7979083,8100864,8222974,8373244,8442982,8677911,8793592,8827709
"All ages","Passenger cars","North Macedonia",289979,263181,285907,284022,289204,288678,290000,300000,310000,308000,300000,,253200,242300,248800,263110,282200,310230,313000,301761,346798,371449,383833,394934,403316,415062,426045,429196,477820
"All ages","Passenger cars","Norway",1633000,1654000,1685000,1661000,1758000,1786000,1814000,1851000,1872862,1899767,1933660,1978000,2029000,2084000,2155000,2197000,2244000,2308000,2376000,2443000,2500265,2555443,2610000,2662910,2719396,2751949,2801208,2934883,3003005
"All ages","Passenger cars","Poland",6770557,7153141,7517266,8054448,8533449,8890763,9283000,9991300,10503100,11028900,11243800,11975000,12339000,13384000,14589000,16080000,16495000,17240000,18125000,18744000,19389446,20003863,20723423,21675388,22503579,23429016,24360166,25113862,25869804
"All ages","Passenger cars","Portugal",3295000,3532000,3751000,4003000,4273000,4587000,4932000,5260000,5537000,5788000,,,,,,,,4692000,4712000,4259000,4327478,4699645,4722963,4850229,5059472,5282970,5452119,5565963,5632644
"All ages","Passenger cars","Republic of Moldova",166440,169387,165941,173600,206000,222800,232300,238400,256500,268900,265800,274500,292994,319311,338944,366351,386370,404290,426970,456380,487420,512561,529813,546781,588119,616800,648780,677670,
"All ages","Passenger cars","Romania",1793054,2020017,2197477,2391869,2605465,2822254,2980014,3128782,3225500,2971000,3087600,3225300,3363779,3221000,3541000,4027000,4245000,4320000,4335000,4487000,4695660,4907564,5155059,5472423,5998194,6452536,6902984,7274728,7611039
"All ages","Passenger cars","Russian Federation",11518900,12863539,14195300,15464280,17631686,18819558,19718000,,,,,,25461000,26794000,29405000,32021000,33084000,34354000,36415000,38792000,41419531,,,,,,,,
"All ages","Passenger cars","San Marino",,,,,,,,,,,26820,29734,,,,,,,,,,,,,,,,,
"All ages","Passenger cars","Serbia",,,,,,,,,,,,,1481497,1512000,1477000,1487000,1641000,1565550,1677510,1726190,1770206,1797427,,,,,,2164818,
"All ages","Passenger cars","Slovakia",994933,994046,1015794,1058425,1135914,1196109,1236400,1274200,1292800,1326900,1356200,1197000,1303700,1333700,1433900,1544900,1589000,1669100,1749300,1824200,1879800,1949100,2034574,2121774,2223117,2321608,2393577,2439986,2493183
"All ages","Passenger cars","Slovenia",632563,657287,698212,728000,779000,814000,849000,869000,885000,914500,890000,911000,960000,980000,1014000,1045180,1058858,1061650,1066500,1066030,1066795,1068362,1078737,1096523,1117935,1143150,1165371,1170690,1189457
"All ages","Passenger cars","Spain",13441000,13734000,14212000,14753809,15297000,16050057,16848000,17449000,18151000,18733000,18688000,19542000,20250000,21053000,21760000,22145000,21984000,22148000,22277000,22248000,22025000,22029512,22355549,22876830,23500401,24074151,24558126,24716898,24913132
"All ages","Passenger cars","Sweden",3566000,3594000,3631000,3655000,3702000,3791000,3890000,3999000,4019000,4043000,4075000,4113000,4154000,4202000,4258000,4279000,4301000,4334390,4400550,4446349,4494661,4584711,4668262,4767262,4844823,4869979,4887116,4943293,4985979
"All ages","Passenger cars","Switzerland",3110000,3165000,3229000,3268000,3323000,3383000,3467000,3545000,3630000,3701000,3754000,3811000,3864000,3900000,3956000,3990000,4010000,4076000,4163000,4255000,4321000,4384000,4458000,4524000,4630054,4666278,4692741,4733517,4772200
"All ages","Passenger cars","Tajikistan",200700,,,162443,158975,154283,148825,,,,,,,,,,,,,,,,,,,,,,
