"Passenger road vehicle fleet and rate per thousand inhabitants at 31 December by vehicle category"

"Measurement","Vehicle category","Country","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"absolute value","Motorcycles","Netherlands",270000,294000,315000,354000,373000,392000,414000,438000,461000,494000,516000,537000,553000,568000,585000,606000,623000,636000,647000,653000,653991,652336,652544,655991,661639,646046,679848,700102,677787
"absolute value","Motorcycles","North Macedonia",3003,1451,2305,2703,3439,3566,4000,4000,4000,3000,2000,..,1700,3400,4400,8630,9100,7760,8370,8473,8093,8634,10050,11697,14152,13343,11999,12794,15786
"absolute value","Motorcycles","Norway",36000,39000,43000,51000,61000,70000,78000,86000,90268,94645,98800,104000,109000,117000,126000,135000,141000,147000,152000,157000,161823,167649,176000,184010,190059,192536,198472,219735,227214
"absolute value","Motorcycles","Poland",1067634,1008410,929269,875663,842358,819902,804000,802600,845500,868900,845500,836000,754000,784000,825000,909000,975000,1013000,1069000,1107000,1153169,1189527,1272333,1355625,1427115,1502888,1587031,1669138,1749690
"absolute value","Motorcycles","Portugal",178000,192000,216000,241000,272000,301000,324000,346000,368000,387000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Motorcycles","Republic of Moldova",..,..,150000,138800,123400,115700,97300,91400,79800,78800,49900,15000,16934,17281,18309,21942,24680,26700,28520,30490,63220,30875,32096,33260,34571,36493,39646,35213,..
"absolute value","Motorcycles","Romania",113651,121205,122692,122527,123913,121335,121547,117155,103100,100600,103000,104500,197401,26000,27000,66000,74000,79000,84000,89000,95057,100695,106187,112825,120512,129657,141608,155312,169095
"absolute value","Motorcycles","Russian Federation",9764900,9708200,9457200,8565415,7809329,7165929,6329000,..,5543000,4979000,4418000,3920000,3758000,3339000,3241000,2943000,2577000,2498000,2439000,2623000,2493886,..,..,..,..,..,..,..,..
"absolute value","Motorcycles","San Marino",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Motorcycles","Serbia",..,..,..,..,..,..,..,..,..,..,..,..,16042,20000,25000,32000,34000,37946,39135,34362,36403,38102,..,..,..,..,..,41535,..
"absolute value","Motorcycles","Slovakia",81263,80473,81847,79479,81062,100891,44000,46000,46700,47900,48700,52000,56400,58100,63900,70300,55400,59600,63900,68100,74100,80800,88652,95267,102810,110141,117104,123853,131316
"absolute value","Motorcycles","Slovenia",9967,8786,8430,8022,8342,9213,10000,11000,12000,11200,12000,12000,14000,19000,34000,41610,46185,48690,49880,51000,51936,54631,58083,61131,64330,67145,70329,72607,75603
"absolute value","Motorcycles","Spain",1279000,1288000,1301000,1308000,1326000,1361000,1404000,1446000,1483000,1517000,1514000,1612000,1806000,2058000,2311000,2501000,2607000,2708000,2798000,2852000,2891000,2972165,3079463,3211474,3327048,3459722,3607226,3735920,3858651
"absolute value","Motorcycles","Sweden",52000,57000,63000,76000,91000,101000,119870,139920,158620,174510,187850,205570,225040,245040,259020,269300,277630,277745,280562,283942,284969,288629,292368,298484,299505,300356,302183,310086,312987
"absolute value","Motorcycles","Switzerland",348000,357000,371000,382000,411000,435000,464000,494000,521000,545000,567000,583000,592000,609000,619000,637000,637000,651000,666000,680000,688000,699000,710000,720000,729149,739344,744542,771586,788800
"absolute value","Motorcycles","Tajikistan",..,..,..,76867,47760,47538,40133,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Motorcycles","Turkiye",743320,788786,819922,854150,905121,940935,975746,1011280,1031220,1046910,1073000,1219000,1441000,1823000,2004000,2181000,2303000,1773754,1845100,1824110,2182912,2303040,2416724,2487708,2575117,2642807,2706130,2789783,..
"absolute value","Motorcycles","Turkmenistan",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,117282,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Motorcycles","Ukraine",..,..,..,2773367,2632722,2472145,2314749,2148292,1941575,1674883,1308464,1093899,982556,782143,680765,650938,..,468967,1023381,..,..,..,..,..,..,..,..,..,..
"absolute value","Motorcycles","United Kingdom",644000,635000,627000,672000,758000,820000,903000,968000,1026000,1112000,1181000,1109148,1106000,1129000,1172000,1201000,1191000,1153000,1158000,1146000,1145000,..,1167000,1189631,1180469,1193841,..,..,1269666
"absolute value","Motorcycles","United States",3977656,3756500,3897000,3871000,3826373,3879450,4152433,4346068,4903056,5004156,5370035,5780870,6227146,6678958,7138476,7752926,7929724,8009503,8437502,8454939,8404687,8417718,8600936,8679380,8715204,8666185,..,8328140,..
"absolute value","Motorcycles","Uzbekistan",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1612401,..,..,..,..,..,..,..,..,..
"absolute value","Passenger cars","Albania",57000,68000,59000,68000,88000,91000,99000,115000,134000,149000,174782,190004,195125,225114,237932,264828,281236,294729,300974,297341,341691,378053,403680,436013,417426,460027,499590,539497,593280
"absolute value","Passenger cars","Andorra",48000,53000,35900,35400,36500,38200,40200,41700,42600,43900,45700,47600,..,..,..,..,..,..,..,..,22025,..,..,..,..,..,..,..,..
"absolute value","Passenger cars","Armenia",282000,269000,258000,247000,263000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Passenger cars","Austria",3367000,3479000,3594000,3690000,3783000,3887000,4010000,4097000,4182000,3987000,4054000,4109000,4157000,4205000,4246000,4285000,4360000,4441000,4513000,4584000,4641308,4694921,4748048,4821557,4898578,4978852,5039548,5091827,5133836
"absolute value","Passenger cars","Azerbaijan",263000,276000,278000,274000,271000,281000,307000,332000,343000,351000,370000,403964,479000,548979,616853,700100,759200,815700,871400,958594,1048806,1100124,1129600,..,1147437,1170672,1214093,..,..
"absolute value","Passenger cars","Belarus",774000,876000,940000,1036000,1133000,1279000,..,..,..,..,..,..,1775167,..,..,2228505,2442654,2601402,2750555,2748534,2777885,2942579,3037186,3067492,3094751,3159872,3229935,..,3131424
"absolute value","Passenger cars","Belgium",4110000,4210000,4273000,4339000,4415000,4492000,4584000,4678000,4740000,4787000,4821000,4874000,4919000,4976000,5049000,5131000,5193000,5276000,5407000,5444000,5493472,5555499,5623579,5712061,5785447,5853782,5889210,5888589,5927912
"absolute value","Passenger cars","Bosnia and Herzegovina",..,..,62000,80000,..,..,..,..,..,..,..,..,379019,..,..,447631,694075,724787,735258,751647,776270,801253,828730,828333,884569,920841,940933,936417,983077
"absolute value","Passenger cars","Bulgaria",1505000,1588000,1648000,1707000,1731000,1809000,1908000,1993000,2086000,2174100,2309000,2438000,2538000,1768000,2082000,2366000,2502000,2602000,2695000,2807000,2910235,3013863,3162037,3143568,2770615,2773325,2829946,2866763,2830464
"absolute value","Passenger cars","Canada",12925000,13131000,13192272,13251146,13487000,13887000,16538000,13807310,14194730,14200510,14799960,14300890,14757080,14842800,15330900,15966697,19876990,20267982,29608101,20651993,21261660,21729596,22067778,22410030,22678328,23137203,23472111,23743892,24093491
"absolute value","Passenger cars","Croatia",646210,698391,710910,835714,932278,1000052,1059000,1119000,1185000,1228000,1282000,1329000,1374000,1426000,1510000,1551000,1541000,1521000,1518278,1445000,1448000,1474000,1499802,1552904,1596087,1666413,1724900,1746285,1795465
"absolute value","Passenger cars","Cyprus",203000,210000,220000,227000,235000,249000,257000,268000,280000,288000,303000,335000,355000,373000,411000,444000,461000,463000,470000,475000,474561,478492,487692,508284,526617,550695,572501,578158,592156
"absolute value","Passenger cars","Czechia",2833143,2923916,3043320,3192532,3391541,3492961,3440000,3438900,3529800,3647100,3706012,3816000,3959000,4109000,4280000,4423000,4435000,4496000,4582000,4706000,4729185,4833386,5115316,5307808,5538222,5747913,5924995,6049255,6088730
"absolute value","Passenger cars","Denmark",1618000,1611000,1679000,1739000,1783000,1817000,1843000,1854000,1873000,1888000,2259761,2304630,1915821,2020013,2068493,2099090,2120322,2163676,2197831,2237122,2278121,2329578,2390823,2465538,2530047,2594469,2651726,2723667,2787553
"absolute value","Passenger cars","Estonia",317425,337812,383444,406598,427678,450954,458700,463900,407300,400700,434000,471000,493700,554000,523800,551800,545600,552680,574000,602100,628565,652950,676596,703151,725944,746464,794926,808689,825936
"absolute value","Passenger cars","Finland",1873000,1873000,1901000,1943000,1948000,2021000,2083000,2135000,2161000,2195000,2275000,2347000,2430000,2506000,2570000,2700000,2777000,2877000,2978000,3037000,3105834,3172735,3234860,3322672,3398937,3470507,3549803,3607531,3641532
"absolute value","Passenger cars","France",24385000,24900000,25100000,25500000,26090000,26810000,27480000,28060000,28700000,29160000,29560000,29900000,30100000,30400000,30700000,30850000,31394000,31657000,31754000,32132000,32858000,32531000,32326000,37586724,38136818,38246432,38435918,38480505,38738590
"absolute value","Passenger cars","Georgia",468763,441828,360600,323600,265600,260400,247900,244800,247800,252000,255200,307076,340077,382356,427780,500900,..,577247,620891,672700,738700,821100,894700,973300,..,..,..,..,..
"absolute value","Passenger cars","Germany",38772000,39765000,40404000,40988000,41372000,41674000,42324000,43772000,44383000,44657000,45023000,45376000,46090000,46570000,41184000,41321000,41738000,42302000,42928000,43431000,43851000,44403000,45071000,45803560,46474594,47095784,47715977,48248584,48540878
"absolute value","Passenger cars","Greece",1959000,2074000,2205000,2339000,2500000,2676000,2929000,3195000,3424000,3646000,3840000,4073511,4303129,..,4798530,5023944,5131960,5216873,5203591,5167557,5124208,5110873,5107620,5160056,5235928,5282695,5406551,5492176,5604192
"absolute value","Passenger cars","Hungary",2093529,2178891,2244946,2265180,2297964,2218124,2256000,2365000,2482800,2629500,2777000,2828000,2889000,3214000,3262000,3055000,3013720,2984060,2967810,2986030,3040732,3107695,3196856,3313206,3471997,3641823,3812013,3920799,4020159
"absolute value","Passenger cars","Iceland",116000,116000,119000,125000,132000,140000,151000,159000,160000,162000,167000,175000,187442,197305,207513,209740,205338,204736,206112,210070,213113,217454,226321,240490,257100,267467,269825,269615,289017
"absolute value","Passenger cars","Ireland",891027,939022,990384,1057383,1134400,1196900,1269200,1319000,1404000,1470000,1532000,1582000,1662000,1779000,1883000,2000500,1972290,1945560,1962460,1961810,1981830,2018310,2060170,2102720,2142390,2182920,2253210,2291940,2309760
"absolute value","Passenger cars","Israel",992877,1064936,1130984,1195132,1252003,1297965,1341339,1422032,1485883,1522112,..,..,..,..,..,1901754,1972543,..,2187916,2269259,..,..,..,..,..,3003492,3109816,3195553,..
"absolute value","Passenger cars","Italy",29652000,29665000,30301000,30470000,30748000,31573000,32038000,32584000,33239000,33706000,34310000,33973000,34667000,35297000,35680000,36105000,36372000,36751000,37113000,37078000,36963000,37080753,37351233,37876138,38520321,39018170,39545232,39717874,39822723
"absolute value","Passenger cars","Kazakhstan",995873,991772,1034129,997544,973323,971170,987724,1000298,1057801,1062554,..,..,1405325,..,..,2576625,2751597,3087600,3553800,3642800,3678000,4000109,3856505,3845301,3851620,3847981,3776893,..,..
"absolute value","Passenger cars","Kyrgyzstan",188200,139963,197500,172439,176075,187734,187322,189827,189796,188711,188900,196339,201430,218718,229735,305300,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Passenger cars","Latvia",367475,251590,332000,379895,431816,482670,526000,556800,586200,619100,648900,686100,742400,822010,904870,932830,904310,636660,612320,618270,634600,657799,679048,664177,689536,707841,727164,739124,758688
"absolute value","Passenger cars","Liechtenstein",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25460,25910,26890,27327,28000,28100,28470,28802,29241,29675,29949,30249,30436,30541
"absolute value","Passenger cars","Lithuania",597735,652810,718469,785088,882101,980910,1089300,1172400,1133500,1180900,1256900,1315900,1455300,1592200,1587900,1671065,1695300,1691855,1713277,1753407,1808982,1205668,1244063,1298737,1356987,1430520,1498688,1565465,1611143
"absolute value","Passenger cars","Luxembourg",218000,229000,231666,236834,244129,253000,263000,273090,281000,287000,293000,299000,307000,315000,322000,328000,331500,337200,345600,355900,363247,372827,381103,390935,403589,415050,426443,433078,439790
"absolute value","Passenger cars","Malta",152613,170635,180851,166182,183774,173700,182642,189123,195400,201900,202171,204949,212720,217924,224009,229470,234341,240960,247174,249612,256096,265950,275380,282921,291798,300140,307130,308358,313177
"absolute value","Passenger cars","Monaco",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23938,..,..,..,..,..,..,..,..,..,..,..,..,32129
"absolute value","Passenger cars","Montenegro",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,178919,..,173190,177094,..,174073,..,184734,193242,206453,217959,210113,221405
"absolute value","Passenger cars","Netherlands",5456000,5581000,5664000,5810000,5931000,6120000,6343000,6539000,6711000,6855000,6909000,6992000,7092000,7230000,7392000,7542000,7622000,7736000,7859000,7916000,7932290,7979083,8100864,8222974,8373244,8442982,8677911,8793592,8827709
"absolute value","Passenger cars","North Macedonia",289979,263181,285907,284022,289204,288678,290000,300000,310000,308000,300000,..,253200,242300,248800,263110,282200,310230,313000,301761,346798,371449,383833,394934,403316,415062,426045,429196,477820
"absolute value","Passenger cars","Norway",1633000,1654000,1685000,1661000,1758000,1786000,1814000,1851000,1872862,1899767,1933660,1978000,2029000,2084000,2155000,2197000,2244000,2308000,2376000,2443000,2500265,2555443,2610000,2662910,2719396,2751949,2801208,2934883,3003005
"absolute value","Passenger cars","Poland",6770557,7153141,7517266,8054448,8533449,8890763,9283000,9991300,10503100,11028900,11243800,11975000,12339000,13384000,14589000,16080000,16495000,17240000,18125000,18744000,19389446,20003863,20723423,21675388,22503579,23429016,24360166,25113862,25869804
"absolute value","Passenger cars","Portugal",3295000,3532000,3751000,4003000,4273000,4587000,4932000,5260000,5537000,5788000,..,..,..,..,..,..,..,4692000,4712000,4259000,4327478,4699645,4722963,4850229,5059472,5282970,5452119,5565963,5632644
"absolute value","Passenger cars","Republic of Moldova",166440,169387,165941,173600,206000,222800,232300,238400,256500,268900,265800,274500,292994,319311,338944,366351,386370,404290,426970,456380,487420,512561,529813,546781,588119,616800,648780,677670,..
"absolute value","Passenger cars","Romania",1793054,2020017,2197477,2391869,2605465,2822254,2980014,3128782,3225500,2971000,3087600,3225300,3363779,3221000,3541000,4027000,4245000,4320000,4335000,4487000,4695660,4907564,5155059,5472423,5998194,6452536,6902984,7274728,7611039
"absolute value","Passenger cars","Russian Federation",11518900,12863539,14195300,15464280,17631686,18819558,19718000,..,..,..,..,..,25461000,26794000,29405000,32021000,33084000,34354000,36415000,38792000,41419531,..,..,..,..,..,..,..,..
"absolute value","Passenger cars","San Marino",..,..,..,..,..,..,..,..,..,..,26820,29734,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Passenger cars","Serbia",..,..,..,..,..,..,..,..,..,..,..,..,1481497,1512000,1477000,1487000,1641000,1565550,1677510,1726190,1770206,1797427,..,..,..,..,..,2164818,..
"absolute value","Passenger cars","Slovakia",994933,994046,1015794,1058425,1135914,1196109,1236400,1274200,1292800,1326900,1356200,1197000,1303700,1333700,1433900,1544900,1589000,1669100,1749300,1824200,1879800,1949100,2034574,2121774,2223117,2321608,2393577,2439986,2493183
"absolute value","Passenger cars","Slovenia",632563,657287,698212,728000,779000,814000,849000,869000,885000,914500,890000,911000,960000,980000,1014000,1045180,1058858,1061650,1066500,1066030,1066795,1068362,1078737,1096523,1117935,1143150,1165371,1170690,1189457
"absolute value","Passenger cars","Spain",13441000,13734000,14212000,14753809,15297000,16050057,16848000,17449000,18151000,18733000,18688000,19542000,20250000,21053000,21760000,22145000,21984000,22148000,22277000,22248000,22025000,22029512,22355549,22876830,23500401,24074151,24558126,24716898,24913132
"absolute value","Passenger cars","Sweden",3566000,3594000,3631000,3655000,3702000,3791000,3890000,3999000,4019000,4043000,4075000,4113000,4154000,4202000,4258000,4279000,4301000,4334390,4400550,4446349,4494661,4584711,4668262,4767262,4844823,4869979,4887116,4943293,4985979
"absolute value","Passenger cars","Switzerland",3110000,3165000,3229000,3268000,3323000,3383000,3467000,3545000,3630000,3701000,3754000,3811000,3864000,3900000,3956000,3990000,4010000,4076000,4163000,4255000,4321000,4384000,4458000,4524000,4630054,4666278,4692741,4733517,4772200
"absolute value","Passenger cars","Tajikistan",200700,..,..,162443,158975,154283,148825,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Passenger cars","Turkiye",2619852,2861640,3058511,3274156,3570105,3838288,4072326,4422180,4534800,4600140,4700000,5400000,5773000,6141000,6472000,6797000,7093960,7544871,8113100,8648880,9283923,9857915,10589337,11317998,12035978,12398190,12503049,13099041,..
"absolute value","Passenger cars","Turkmenistan",214100,..,..,226800,..,..,..,..,..,..,..,..,..,..,..,403970,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Passenger cars","Ukraine",4235700,4384100,4603100,4872272,5024011,5127323,..,..,..,..,..,..,5538972,..,..,6393903,6699057,6769291,6900541,..,..,..,..,..,..,..,..,..,..
"absolute value","Passenger cars","United Kingdom",21288000,21740000,21951000,22819000,23450000,23922000,24628000,25067000,25783000,26460000,26953000,27765100,28285000,27830000,28228000,28390000,28247000,28421000,28467000,28722000,..,..,30250294,30850440,31200182,31517597,..,..,31878624
"absolute value","Passenger cars","United States",167771881,190787000,194125000,198862000,199973000,203168743,207788420,212706399,221821103,220931982,222701430,228275978,231905000,137742000,138353000,139501000,193979654,190202782,125656528,111289906,113676345,113898845,112864228,112961266,111177029,111242132,..,105135300,..
"absolute value","Passenger cars","Uzbekistan",861000,971800,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1712854,1818713,1974182,2057331,2133507,2272185,2410421,2767126,3051734
"absolute value","Motor coaches, buses and trolley bus","Albania",7582,8149,6651,7612,8747,9227,10316,16806,20813,21026,21693,25066,29453,..,..,..,..,..,..,..,..,..,..,7050,6583,7146,7535,7627,7867
"absolute value","Motor coaches, buses and trolley bus","Andorra",..,..,159,161,164,168,180,180,185,189,193,202,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Motor coaches, buses and trolley bus","Armenia",8532,8255,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Motor coaches, buses and trolley bus","Austria",9483,9598,9752,9740,9718,9675,9834,9918,9902,9179,9231,9408,9301,9297,9299,9368,9599,9648,9602,9546,9579,9585,9679,9825,9956,10037,10148,10064,10136
"absolute value","Motor coaches, buses and trolley bus","Azerbaijan",13327,12827,12768,12925,12053,13666,14941,16756,17275,17422,18781,20991,26735,27474,28092,29340,29985,29569,29189,29647,30334,30943,31057,..,30788,30704,30783,..,..
"absolute value","Motor coaches, buses and trolley bus","Belarus",35000,35100,36000,36800,..,..,..,..,..,..,..,..,7784,..,..,47088,46088,46429,44853,46624,46501,48778,48461,45212,44971,45139,45163,..,42982
"absolute value","Motor coaches, buses and trolley bus","Belgium",14794,14880,14667,14660,14667,14588,14673,14722,14676,14769,15060,15328,15391,15329,15479,15992,16061,16226,16100,16031,15822,15976,16094,16040,16062,16125,16542,16422,16628
"absolute value","Motor coaches, buses and trolley bus","Bosnia and Herzegovina",..,1058,650,1047,..,..,..,..,..,..,..,..,3378,..,..,2663,..,4112,3992,4005,3711,4130,4200,..,4394,5212,4458,3615,3944
"absolute value","Motor coaches, buses and trolley bus","Bulgaria",..,41432,41839,41642,41202,42264,42721,43005,43566,43860,44348,36630,37776,22755,23883,25249,25091,24457,23651,23289,23259,23603,24010,23365,21018,20818,20687,19450,17731
"absolute value","Motor coaches, buses and trolley bus","Canada",63651,64457,64339,64155,64261,68307,73174,77341,74086,75517,79364,77842,78962,80447,82583,84163,85579,86327,86594,87387,88878,90650,90551,90643,..,..,..,66703,64206
"absolute value","Motor coaches, buses and trolley bus","Croatia",3895,4026,3897,4596,4771,4814,4715,4637,4703,4731,4782,4811,4831,4864,5057,5112,5085,4888,4841,4655,4789,5040,5276,5513,5698,5877,6041,5237,5206
"absolute value","Motor coaches, buses and trolley bus","Cyprus",2438,2546,2670,2801,2800,2754,2835,2949,3003,2997,3275,3,3217,3221,3292,3402,3449,3403,3461,3557,3495,2581,2712,2842,2991,3084,3151,2655,2774
"absolute value","Motor coaches, buses and trolley bus","Czechia",19203,19756,20474,21200,20755,19960,18981,18259,18384,21340,20627,19948,20134,20331,20416,20375,19943,19653,19674,19882,20318,20511,20667,20876,21442,22027,22206,19968,20555
"absolute value","Motor coaches, buses and trolley bus","Denmark",12978,13564,13669,13786,13779,13911,13909,13968,13954,13986,14132,14191,14191,14552,14482,14452,14509,14496,14014,13485,13270,13408,13383,13417,13482,13158,13003,12298,11923
"absolute value","Motor coaches, buses and trolley bus","Estonia",8841,6467,7152,6846,6602,6448,6336,6059,5542,5306,5493,5413,5194,5501,4431,4412,4236,4281,4259,4410,4587,4706,4845,4901,5022,5026,5221,5285,5374
"absolute value","Motor coaches, buses and trolley bus","Finland",8255,8054,8083,8233,8450,9040,9487,9852,9769,10005,10358,10716,10912,11189,11543,12276,13017,13650,14185,14930,15485,16202,16812,17491,18067,18467,19086,19233,19470
"absolute value","Motor coaches, buses and trolley bus","France",77700,78700,81800,82100,82000,84961,85668,85749,86954,85876,87101,88417,90055,92152,94392,92874,90452,89685,91499,92767,95743,96467,98746,92848,89457,90770,92297,92918,94523
"absolute value","Motor coaches, buses and trolley bus","Georgia",..,..,13700,13700,14700,14800,18900,19800,22700,24100,25700,30582,32975,36845,39361,42900,..,47551,49191,51200,51900,52700,53000,53400,..,..,..,..,..
"absolute value","Motor coaches, buses and trolley bus","Germany",88433,88460,86258,84954,84019,83285,84687,86656,86461,85880,86480,85508,83904,83549,75068,75270,76433,76463,75988,76023,76794,77501,78345,78949,79438,80519,81364,75548,80225
"absolute value","Motor coaches, buses and trolley bus","Greece",23206,23968,24600,25096,25622,26320,27147,27459,27518,27650,27498,26780,27198,..,27471,27555,27692,27677,27487,27328,27149,27047,26942,26897,26835,26743,26833,26893,26938
"absolute value","Motor coaches, buses and trolley bus","Hungary",22186,21785,20464,19381,18890,18795,17988,18100,18058,18114,18111,17619,17450,19773,19998,17995,17720,17641,17366,17301,17569,17923,18135,18482,18705,19134,19454,16979,17759
"absolute value","Motor coaches, buses and trolley bus","Iceland",1193,1249,1295,1363,1483,1544,1621,1675,1711,1699,1711,1762,1899,1929,1943,1955,1888,1916,1972,2084,2179,2300,2463,2862,3095,3146,3194,3105,3625
"absolute value","Motor coaches, buses and trolley bus","Ireland",4835,4985,5282,5535,7007,7194,7794,8247,8462,8486,8803,8980,9180,..,10110,12111,10346,9937,9891,9932,10155,10407,10878,11446,11955,12500,12990,11932,12642
"absolute value","Motor coaches, buses and trolley bus","Israel",10327,11697,12999,14252,14713,14986,16805,18046,18780,19140,11631,11415,19617,20544,21309,22761,..,..,..,..,..,..,..,..,33216,34186,35204,35387,..
"absolute value","Motor coaches, buses and trolley bus","Italy",77000,76076,75023,78183,83612,85799,85762,87956,89858,91716,92701,92874,94437,96099,96419,97597,98724,99895,100438,99537,98551,97914,97991,97817,..,100042,100149,99883,100199
"absolute value","Motor coaches, buses and trolley bus","Kazakhstan",..,48461,45574,39738,34130,29547,26146,24685,24436,24785,26004,..,65698,32725,35396,89220,..,94000,98634,97497,101295,99188,97916,98672,90642,89503,86828,..,..
"absolute value","Motor coaches, buses and trolley bus","Kyrgyzstan",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,183,124,121,..,..,..,..,..,..,..,..,..
"absolute value","Motor coaches, buses and trolley bus","Latvia",13391,14517,16813,17603,18877,11829,11870,11807,11605,11475,11294,11051,10966,10946,10958,10889,9990,5679,5488,5346,5253,5102,5066,4986,4955,4885,4808,4383,4270
"absolute value","Motor coaches, buses and trolley bus","Liechtenstein",..,..,119,120,121,132,115,103,113,103,99,102,105,106,101,99,103,105,105,105,101,101,103,98,100,99,102,75,87
"absolute value","Motor coaches, buses and trolley bus","Lithuania",16874,17635,17584,16026,15435,15679,16090,15543,15641,15842,16006,14853,15311,15619,14488,14312,13837,13728,13545,13107,13063,7371,7286,7326,7570,7925,8142,8070,7985
"absolute value","Motor coaches, buses and trolley bus","Luxembourg",850,846,871,915,944,945,984,1051,1122,1176,1227,1269,1340,1379,1455,1545,1623,1636,1703,1728,1759,1778,1857,1904,1960,2046,2184,2239,2344
"absolute value","Motor coaches, buses and trolley bus","Malta",936,964,1014,967,1077,1117,1133,1141,1125,1134,1150,1003,1629,1609,1672,1836,1820,1835,1749,1740,1705,1789,1955,1996,2070,2112,2275,2222,2325
"absolute value","Motor coaches, buses and trolley bus","Monaco",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,90,..,..,..,..,..,..,..,..,..,..,..,..,45
"absolute value","Motor coaches, buses and trolley bus","Montenegro",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1308,1370,1459,1490,979,1225
"absolute value","Motor coaches, buses and trolley bus","Netherlands",11500,11200,11500,11241,10801,11006,11210,11369,11326,11382,11344,11231,10995,10845,11091,11332,11634,11277,10986,10464,9922,9597,9411,9822,9914,9513,9876,9277,8532
"absolute value","Motor coaches, buses and trolley bus","North Macedonia",2921,2453,2541,2442,2430,2478,2479,2498,2620,2497,2478,..,2269,2220,2284,2270,2454,2695,2636,2719,3022,3164,3243,3230,3188,3201,3144,2612,2946
"absolute value","Motor coaches, buses and trolley bus","Norway",29124,30547,32515,33959,35171,36218,37039,36686,35667,34110,32374,30592,28783,26954,25204,23324,21474,20348,19240,18220,17584,17111,16668,16258,16041,15634,15867,16086,15591
"absolute value","Motor coaches, buses and trolley bus","Poland",86154,86852,85413,85596,81788,80827,78958,82590,82500,83389,82769,82845,80175,83668,87999,92792,95745,97371,100488,100175,102927,106387,110186,113483,116351,119471,122879,124810,124840
"absolute value","Motor coaches, buses and trolley bus","Portugal",13554,14248,15020,15681,16431,17513,18544,19780,20760,21387,..,..,..,..,..,..,..,15425,15181,12357,12111,14941,14717,14850,15235,15493,17819,15197,15477
"absolute value","Motor coaches, buses and trolley bus","Republic of Moldova",9631,9649,8564,10278,11613,13327,13985,13167,15096,16183,16124,20112,19825,21415,21454,21491,21701,21738,21792,21790,21724,21755,21525,21367,21339,21467,24521,21453,..
"absolute value","Motor coaches, buses and trolley bus","Romania",37731,40017,42997,44205,45015,46508,47305,48142,47724,40761,41947,..,39273,32315,34202,41514,41165,40647,40887,42010,42836,44283,47347,48803,50309,51802,53771,54170,54351
"absolute value","Motor coaches, buses and trolley bus","Russian Federation",..,506115,526337,640848,640835,639732,645396,418000,662449,701911,728774,764597,778000,835542,893665,905370,907038,904875,912969,938512,901525,..,..,..,..,..,..,..,..
"absolute value","Motor coaches, buses and trolley bus","San Marino",..,..,..,..,..,..,..,..,..,..,70,72,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Motor coaches, buses and trolley bus","Serbia",..,..,..,..,..,..,..,..,..,..,9066,9032,9696,9455,9026,8910,8853,8238,9018,9056,9019,9044,..,..,..,..,..,9900,..
"absolute value","Motor coaches, buses and trolley bus","Slovakia",12847,12243,12053,11582,11485,11515,11335,11149,10889,10834,10852,9202,9392,9070,10759,10804,9667,9616,9342,9226,9071,9159,9270,9091,9241,9363,9262,8164,8370
"absolute value","Motor coaches, buses and trolley bus","Slovenia",2527,2486,2467,2406,2372,2327,2319,2259,2217,2189,2188,2257,2255,2277,2330,2378,2394,2400,2422,2410,2465,2559,2631,2679,2782,2834,2884,2339,2638
"absolute value","Motor coaches, buses and trolley bus","Spain",47028,47088,47375,48405,50035,51805,53540,54732,56146,56953,55993,56957,58248,60400,61100,62196,62663,62445,62358,62358,59892,59799,60252,61838,63589,64905,65470,63387,64300
