"Passenger road vehicle fleet and rate per thousand inhabitants at 31 December by vehicle category"

"Measurement","Vehicle category","Country","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"absolute value","Special purpose vehicles","Norway",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7667,7250,6716,6463,9378,9348
"absolute value","Special purpose vehicles","Poland",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,162401,163158,172079,182245,191134,205917,216351,227888,242072
"absolute value","Special purpose vehicles","Portugal",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30360,30102,27051,29043,32321,32795,32797,35716,37184,44616,44433,46626
"absolute value","Special purpose vehicles","Republic of Moldova",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Special purpose vehicles","Romania",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30726,31968,30701,31047,32152,32952,34088,35306,..,39210,41645,45030,47676,50327
"absolute value","Special purpose vehicles","Russian Federation",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Special purpose vehicles","San Marino",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Special purpose vehicles","Serbia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Special purpose vehicles","Slovakia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30678,32382,34156,35534,36586,37901
"absolute value","Special purpose vehicles","Slovenia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13749,14476,15131,16098,17201,18234,19547,20115,21684
"absolute value","Special purpose vehicles","Spain",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,405790,347290,346918,349063,352763,358030,362657,369469
"absolute value","Special purpose vehicles","Sweden",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18348,19282,20392,21482,22629,23957,23666,23414,27497
"absolute value","Special purpose vehicles","Switzerland",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100,100,100,1000,1000,1000,1000,1000,..
"absolute value","Special purpose vehicles","Tajikistan",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Special purpose vehicles","Turkiye",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,34104,35492,34116,33071,36148,40731,45732,50818,60099,63359,65470,70309,..
"absolute value","Special purpose vehicles","Turkmenistan",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Special purpose vehicles","Ukraine",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Special purpose vehicles","United Kingdom",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4604,4308,4096,3792,..,..,3297
"absolute value","Special purpose vehicles","United States",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Special purpose vehicles","Uzbekistan",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1519,2446,2672,2820,3071,3962,4321,3756,5130,5152
"absolute value","Mopeds","Albania",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36096,30673,33663,37090,25506,30019
"absolute value","Mopeds","Andorra",..,..,..,..,..,..,..,..,4400,4200,4000,3700,..,..,..,..,..,..,..,..,2107,..,..,..,..,..,..,..,..
"absolute value","Mopeds","Armenia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Mopeds","Austria",377000,368000,372000,367000,363000,363000,360000,353000,347000,304000,340000,297000,301000,289000,295000,301000,305000,304000,302000,300000,293371,286783,280889,277077,275912,274394,273512,275580,277836
"absolute value","Mopeds","Azerbaijan",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Mopeds","Belarus",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Mopeds","Belgium",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,167389,191574,210562,237227
