,Country name,Country code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
76,France,FRA,,,,28249319,28753073,28954462,29316805,29805675,32063906,32831419,33538234,34294982,34808708,35228622,35600116,35847237,36164754,36619045,36517187,37101826,37453763,37637317,38076375,39739431,39441114,39216729,42743695,43536888,43714102,43875958,43925419,44228528,
77,French Guiana,GUF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,French Polynesia,PYF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,French Southern Territories,ATF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Gabon,GAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Gambia,GMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Georgia,GEO,519100,,,517511,483909,376300,414300,345200,331400,316800,311600,270500,266700,272600,278100,282100,459100,515900,552500,592300,637100,689200,753100,822800,909100,985200,1067700,1128300,1187800,1237500,1300000,1381500,
83,Germany,DEU,,,,,,,,,,,,,,,,,,43762067,43919831,44370443,44997890,45716965,46268419,46743383,47370283,48144467,48996336,49795221,50542724,51291324,51951667,52392974,
84,Ghana,GHA,,,,,,,,,,,,,,,,,,,,,700683,787698,811176,850503,,,1536089,,,,,,
85,Gibraltar,GIB,,,,,,,,,,,,,,,,,,,,,,,,,,20689,20165,22739,19367,,,,
86,Greece,GRC,,,,2800952,2942744,3109065,3274338,3472618,3684749,3975072,4274770,4531995,4777229,4992741,5259428,5516810,,4843133,5070343,5180032,5265971,5253099,5217304,5173741,5160462,5156361,5209254,5284923,5332037,5529995,5614208,5657830,
87,Greenland,GRL,,,,,,,,,,,,,,,,,,,,,,,,,,5611,5778,6170,6416,6885,7284,,
88,Grenada,GRD,,,,,,,,,,,,,,,,,,,,,,,,,,36146,38270,42877,44507,47541,,,
89,Guadeloupe,GLP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Guam,GUM,,,,,,,,,,,,,,,,,,,,,,,,,,109224,112397,113192,113072,116984,,,
91,Guatemala,GTM,,,,,,,,,,,,,,,,,,,,,,,,,,1862651,2000824,2133725,2122721,2246744,2291992,,
92,Guernsey,GGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Guinea,GIN,,,,,,,,,,,,,,,,,,,,,,,,,,225620,248253,273510,301716,333243,,,
94,Guinea-Bissau,GNB,,,,,,,,,,,,,,,,,,,,,,,,,,,62239,,,,,,
95,Guyana,GUY,,,,,,,,,,,,,,,,,,,,,,,,,,116818,,,,,,,
96,Haiti,HTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Heard Island and McDonald Islands,HMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Holy See,VAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Honduras,HND,,,,,,,,,,,,,,,,,,,,,,,,,,912108,1003402,1063342,1129313,1186844,1230046,,
100,Hong Kong,HKG,,,,,,,,391522,403384,409476,418199,426144,429494,427583,429483,432538,438000,451325,465457,474351,494175,516701,539953,563964,588035,615072,630479,647976,666012,676914,700169,705786,698491
101,Hungary,HUN,,,,2376993,2484319,2576042,2595869,2639309,2556558,2606491,2735883,2867187,3028888,3186641,3239443,3316603,3698026,3759363,3528886,3498160,3466580,3450862,3470332,3520950,3604029,3711228,3848766,4033229,4231432,4430077,4553481,4675531,
102,Iceland,ISL,,,,131648,131597,135052,141623,149511,158094,170428,180109,181700,183976,189974,199797,214882,199234,209456,243514,207226,206652,208084,212154,215292,219754,228784,243352,298587,311162,314806,315294,336622,
103,India,IND,5303000,5818000,6332000,6694000,7070000,7670000,8503000,9260000,10190000,10993000,12024000,13486700,14369539,15996158,17047478,18824395,20600157,22459618,24415890,26508004,31469524,32531717,35973730,40758216,41882902,45641930,50066499,53963000,57058518,60735863,68329000,,
104,Indonesia,IDN,1781760,1999327,2130693,2268944,2541948,2795824,3004507,3250925,3396055,3542470,3705193,3869869,4117655,4590589,5165152,6186485,7385338,8613316,9549039,10071380,11141150,11803272,11469954,12503857,13540971,14422390,15281384,14181561,15053570,15823988,16031007,16650914,
105,Iran (Islamic Republic of),IRN,,,,,,,,,,,,,,,,,,,,,,,,,,18506234,18792846,20391967,,,,,
106,Iraq,IRQ,,,,,,,,,,,,,,,,,,,,,,,,,,5616041,,,,,2382649,,
107,Ireland,IRL,,,,1031087,1079816,1137451,1209519,1299565,1374960,1465808,1532822,1631972,1711555,1791933,1859062,2034035,,2238984,2365341,2327967,2283647,2293313,2281787,2310320,2346597,2402077,2456897,2503887,2551089,2633328,2682054,2707787,
108,Isle of Man,IMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Israel,ISR,,,,1210284,1314775,1394323,1473859,1544415,1599768,1654114,1754058,1835159,1881092,,,,,,2287448,1972543,,2187916,2269259,,,2964138,3108862,3238125,3254423,3353162,3432009,,
110,Italy,ITA,,,,29729000,32454524,33164455,33643054,33988567,34932819,35451823,36165487,36994552,37682038,38476033,38081486,38941096,39724846,40214057,40274602,40573313,40992686,41395333,41321303,41149140,41259611,41547046,42154755,42776726,43432235,44013750,44234944,44418050,
111,Jamaica,JAM,,,,,,,,,,,,,,,,,,,,,,,,,,552279,583775,617778,659320,705794,722223,,
112,Japan,JPN,36611244,38830236,40732239,42675472,44630934,46827923,46739973,48976021,50546464,51910714,53211990,54437971,55440611,56377319,57163134,58138650,58929056,59319400,59308951,59422750,60012328,60601062,61238009,61947559,62428141,62762509,63206123,63555669,63755067,63805739,63919632,63876728,
113,Jersey,JEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Jordan,JOR,,,,,,,,,,,,,,,,,,,,,,,,,,1301172,1347311,1535617,1577140,1624003,1673346,,
115,Kazakhstan,KAZ,863900,903034,971200,1011800,1046500,1088106,1046700,1019500,1015495,1031121,1045966,1107962,1113967,1210091,1267100,1470998,1820042,2266472,2665800,2751600,3181600,3652200,3740100,3779300,4099059,3954208,3943972,3942050,3937311,3863513,3953881,3880120,
116,Kenya,KEN,,,,,,,,,,,,,,,,,,,,,,,,,,1403354,1465218,1555155,1649565,1754406,1834647,,
117,Kiribati,KIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,2949,,,,,
118,Korea (Democratic People's Republic of),PRK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,"Korea, Republic of",KOR,,,,,,,,,,,,,,,,,,,,,,,,,,16780821,17564818,18267784,18914718,19421286,20111230,20670232,21223136
120,Kuwait,KWT,,,,,,,,,,,,,,,,,,,,,,,,,,2004780,2079994,2156810,2044484,2181715,2295606,,
121,Kyrgyzstan,KGZ,,,,188200,139963,197500,172439,176075,187734,187322,189827,189796,188711,188900,196339,201430,218718,229735,305300,,,,,,,,,,,,,,
122,Lao People's Democratic Republic,LAO,,,,,,,,,,,,,,,64286,67994,72795,94749,107969,132092,158552,153217,203594,230272,263000,294316,325647,358620,405630,434956,460980,643908,
123,Latvia,LVA,,,,441320,332543,417481,470407,527464,579441,628090,665688,697513,733309,764820,804704,866479,954076,1045442,1073524,1034871,,,,,,,,,,,,,
124,Lebanon,LBN,,,,,,,,,,,,,,,,,,,,,,,,,,1651859,1675891,,1915580,,,,
125,Lesotho,LSO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Liberia,LBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Libya,LBY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Liechtenstein,LIE,,,,,,,,,,,,,,,,,,,28255,28725,29786,30322,31127,31287,31680,32083,32625,33117,33482,33876,34066,34258,
129,Lithuania,LTU,,,,713380,771505,844944,890397,991206,1096043,1201966,1286556,1249530,1302287,1383423,1446430,1593097,1743365,1749971,1835485,1855462,1839504,1863601,1905449,1965083,,,,,,,,,
130,Luxembourg,LUX,,,,243050,255069,257195,262571,270668,280835,286537,298784,308373,315044,322048,328698,337945,347127,355987,363964,367864,374463,384116,394947,402665,413039,422534,434087,448672,462063,475599,483851,492528,
131,Macao,MAC,,,,,,,,,,,,,,,,,,,,,,,,,,119396,119311,115337,116067,116908,118704,,
132,Madagascar,MDG,,,,,,,,,,,,,,,,,,,,,,,,,,194144,,,,,,,
133,Malawi,MWI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Malaysia,MYS,,,,,,,,,,,,,5120570,5552553,6042418,6609761,7084034,7566693,8121049,8668389,9287030,9505274,10138387,10752234,11199910,12094790,13184347,12246582,14291458,14879432,15076059,,
135,Maldives,MDV,,,,,,,,,,,,4891,2802,3147,3685,4313,5220,6112,6771,7200,6615,7021,7396,7867,8808,10278,11441,12655,13839,,,,
136,Mali,MLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Malta,MLT,,,,187573,209200,222700,205580,231163,223220,226462,233428,240188,246886,249178,251722,254951,260859,267078,274522,278707,285261,291565,294052,301183,311838,321486,330255,340804,351049,360047,362624,368279,
138,Marshall Islands,MHL,,,,,,,,,,,,,,,1651,1820,2459,2574,2264,,,,,,,,,,,,,,
139,Martinique,MTQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Mauritania,MRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Mauritius,MUS,,,,,,,,,,,,,,,,,,,,,,,,,,290172,305991,323954,342438,361231,375392,,
142,Mayotte,MYT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Mexico,MEX,,,,,,,,,,,,,,,,,,,,,,,,,,37338734,39416688,42254979,43703774,45080066,45086615,,
144,Micronesia (Federated States of),FSM,,,,,,,,,,,,,,,,,,,,,6927,6820,7413,7306,7159,7508,8090,7394,8551,10462,10561,,
145,"Moldova, Republic of",MDA,,,,240370,241345,238943,245273,278482,282611,285552,282081,299188,311279,331312,368467,395080,433030,462793,503809,535014,563844,596723,636036,674436,704808,560831,577094,617906,646155,680687,908468,,
146,Monaco,MCO,,,,,,,,,,,,,,,,,,,28236,,,,,,,33148,34139,35153,35949,36390,36389,36448,
147,Mongolia,MNG,,,,,,,,,,,,,,,,,,,,,,,427357,471202,510987,548544,587747,627678,671966,720580,787069,884488,
148,Montenegro,MNE,,,,,,,,,,,,,,,,,,,,178919,,173190,177094,,174073,189690,200808,210596,225632,238624,212833,224578,
149,Montserrat,MSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Morocco,MAR,,,,,,,,,,,,,,,,,,,,,,,,,,3436271,3623375,3620861,3835038,4187733,4334758,,
151,Mozambique,MOZ,,,,,,,,,,,,,,,,,,,,288355,329117,375952,422070,477349,588045,596735,631485,668022,706323,754693,800078,,
152,Myanmar,MMR,,,,,,,,,,,,,,,201108,204881,211978,220925,236309,252910,265728,286586,269140,312731,404925,456239,488136,538945,558738,587642,609179,,
153,Namibia,NAM,,,,,,,,,,,,,,,,,,,,,,,,,,331812,349939,,359426,372282,,,
154,Nauru,NRU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Nepal,NPL,,,,,,,,,,,,,,,,,,,,,,,,,,304420,,,,,,,
156,Netherlands,NLD,,,,5588565,5714855,5802162,6477254,6639200,6893822,7190396,7449367,7664639,7846649,7929986,8038824,8107501,8236578,8413493,8579238,8650917,8751242,8860684,8896103,8893490,8937523,9073339,9221801,9406164,9495940,9772222,9906669,9954336,
157,New Caledonia,NCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,New Zealand,NZL,,,,,,,,,,,2164737,2231310,2310989,2414795,2511636,2600265,2653864,2702259,2716646,2708797,2729207,2722582,2761205,2821190,2915265,3013038,3127802,3240616,3319345,3383313,3410951,3471528,
159,Nicaragua,NIC,,,,,,,,,,,,,,,,,,,,,,,,,,363617,403899,375601,447184,451265,466740,,
160,Niger,NER,,,,,,,,,,,,,,,,,,,,,,,,,,257821,279326,300294,312695,332533,354723,,
161,Nigeria,NGA,,,,,,,,,,,,,,,,,,,,,5213154,,,,,7463236,10431015,,,,9702357,,
162,Niue,NIU,,,,,,,,,,675,,,,,,,,,,,,716,,,981,,,,,,,,
163,Norfolk Island,NFK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,North Macedonia,MKD,,,,313004,285660,311006,308401,314920,314596,315949,327126,338516,334815,325472,,273510,261476,267640,282645,303077,331174,348189,335241,408293,411984,425764,438473,484106,497896,510895,476668,530212,
165,Northern Mariana Islands,MNP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Norway,NOR,,,,1985185,2020025,2066719,2052794,1797987,1896871,1926998,1963637,1908529,1933877,1966034,2457805,2522602,2598884,2693225,2743017,2787942,2854710,2928826,3003748,,,3181130,3237981,3299126,3333215,3392848,3536676,3613059,
167,Oman,OMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1482023,1528984,1550987,,
168,Pakistan,PAK,,,,,,,,1270663,1295585,1396828,1420600,1450487,1524994,1546124,1554949,1579094,1653153,1728566,1841652,1959486,2048019,2208687,2453522,2646664,2807562,3112290,3340041,3609626,3915896,4128824,4260487,,
169,Palau,PLW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,"Palestine, State of",PSE,,,,,,,,,,,,,,,,,,,,,,,,,,173284,199998,225841,251998,267225,275618,,
171,Panama,PAN,,,,,,,,,,,,,,,,,,,,,,,,,,700543,752316,805622,858670,902094,831471,,
172,Papua New Guinea,PNG,,,,,,,,,,,,,,,,,,,,,,,,,,,99704,,,,,,
173,Paraguay,PRY,,,,,,,,,,,,,,,,,,,,,,,,,,651642,661091,685555,689289,,,,
174,Peru,PER,,,,,,,,,,,,,,,,,,,,,,,,,,2544133,2661719,2786101,2894327,,,,
175,Philippines,PHL,,,1246482,1385361,1508160,1648604,1828591,1961991,2020769,2112482,2185598,2246728,2431746,2456413,2616916,2606689,2600441,2563568,2575329,2674736,2805524,2895566,2967672,3040781,3186595,3400028,3464123,3752875,3928608,4170883,4029338,4389676,4855322
176,Pitcairn,PCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Poland,POL,,,,7856556,8293972,8956778,9571401,10102676,10534404,11044845,11952958,12564893,13274903,13639988,14449450,14723680,15860326,17197547,18882489,19387512,20318987,21356217,22022180,22734857,23450866,24261574,25330207,26258913,27306660,28366542,29237839,30134449,
178,Portugal,PRT,,,,,,,,,,,,,,,,,,,,,6151691,6150732,5529243,5586036,6063185,6050899,6175553,6411525,6668143,6982983,6976679,7044263,
179,Puerto Rico,PRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Qatar,QAT,,,,,,,,,,,,,,,,,,,,,,,,,,1450187,1520258,1572084,1627044,1691942,,,
181,Réunion,REU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,Romania,ROU,,,,2157368,2415402,2580433,2798454,3031050,3275626,3466199,3622340,3726654,3454626,3591140,3706285,3896873,3710327,4077159,4713854,4948024,5027866,5072147,5248936,4823443,5046053,5308166,7228594,7870175,7538662,8046763,8470490,8856754,
183,Russian Federation,RUS,,,,14524727,16433566,17829884,19146643,21375621,22567521,23559573,,,,,,26362000,32558105,35466514,38275082,39313600,35248000,42872668,45481536,48367990,,45126000,52337486,47783000,48289000,49299000,56673511,,
184,Rwanda,RWA,,,,,,,,,,,,,,,,,,,,,,,,,,80237,87678,94350,100723,96018,108932,,
185,Saint Barthélemy,BLM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,"Saint Helena, Ascension and Tristan da Cunha",SHN,,,,,,,,,,,,,,,,,,,,,,,,,,2728,2918,2897,2972,2995,,,
187,Saint Kitts and Nevis,KNA,,,,,,,,,,,,,,,,,,,,,,,,,,25085,,,,,,,
188,Saint Lucia,LCA,,,,,,,,,,,,,,,,,,,,,,,,,,,35220,,,,,,
189,Saint Martin (French part),MAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,Saint Pierre and Miquelon,SPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Saint Vincent and the Grenadines,VCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,Samoa,WSM,,,,,,,,,6815,7237,7883,9613,9862,,,,,,,10654,,15247,15436,16479,,,25067,22045,,,,,
193,San Marino,SMR,,,,,,,,,,,,,,29515,32370,,,,,,,,,,,40026,40307,40990,41082,39530,39421,,
194,Sao Tome and Principe,STP,,,,,,,,,,,,,,,,,,,,,,,,,,,,34050,,,,,
195,Saudi Arabia,SAU,,,,,,,,,,,,,,,,,,,,,,,,,,,6895799,,,,,,
196,Senegal,SEN,,,,,,,,,,,,,,,,,,,293800,311020,312971.568,331549.653,344807.664,368149.56,394446.129,427798.614,478350.895,,762868.77,,,,
