"Category","Antigua and Barbuda","Argentina","Aruba","Barbados","Bermuda","Bolivia","Brazil","Canada","Cayman Islands","Chile","Colombia","Costa Rica","Cuba","Curaçao","Dominica","Dominican Republic","Ecuador","El Salvador","Grenada","Guatemala","Guyana","Honduras","Jamaica","Mexico","Nicaragua","Panama","Paraguay","Peru","St. Kitts and Nevis","St. Lucia","St. Vincent and the Grenadines","Suriname","United States","Uruguay","Venezuela, RB"
"2015",35219,13504434,60211,114848,26934,1128202,64164723,23214548,38588,4464951,5186532,1076401,413310,91398,,1253523,1494153,,36146,1862651,116818,912108,552279,37338734,363617,700543,651642,2544133,25085,,24887,185132,255009283,724224,
"2016",35730,14245414,65781,,27026,1200781,66215856,23553604,38347,4676852,5440622,1127919,417957,93015,33049,1313906,1578295,798866,38270,2000824,,1003402,583775,39416688,403899,752316,661091,2661719,,35220,25536,188126,260119703,792858,6713741
"2017",35899,,68842,,27493,1246633,68456385,23846147,35067,4900037,5679528,1180351,417586,97783,,1380196,1707376,,42877,2133725,,1063342,617778,42254979,375601,805622,685555,2786101,,,22857,193279,263765695,837647,
"2018",39523,,78416,,27601,1300935,71021475,24330772,35620,5182245,5937038,1225156,418524,103273,,1460487,1821145,,44507,2122721,,1129313,659320,43703774,447184,858670,689289,2894327,,,23745,200967,264935915,824051,
"2019",42284,,78961,,27838,1353953,73807436,24686419,37904,5393768,6143287,1249334,,98503,,1510974,1764132,,47541,2246744,,1186844,705794,45080066,451265,902094,,,,,28438,199818,267894860,881569,
"2020",,,80065,,28081,1371174,75863573,,31528,5591145,6310037,1317164,,77670,,1564954,1695047,,,2291992,,1230046,722223,45086615,466740,831471,,,,,26637,203657,267607079,911892,
